XID,Project Name,City,Magicbricks.com Link
r388872,The Empire,Nagpur,https://www.magicbricks.com/the-empire-by-jarry-profit-&-r-sandesh-group-kadvi-chowk-nagpur-pdpid-4d4235333238323639
r410569,Gracewood Elegance,Vadodara,https://www.magicbricks.com/gracewood-elegance-bill-vadodara-pdpid-4d4235343136363531
r409549,Protech Pride,Guwahati,https://www.magicbricks.com/protech-pride-bagharbari-guwahati-pdpid-4d4235343139343731
r432552,Altura 3,Jaipur,https://www.magicbricks.com/altura-iii-mansarovar-jaipur-pdpid-4d4235343233363933
r422307,Aakar Park,Nagpur,https://www.magicbricks.com/aakar-park-besa-nagpur-pdpid-4d4235343139303335
r422453,Assetz 66 and Shibui,Bangalore East,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839
r333859,Lord Krishna Floors,Faridabad,https://www.magicbricks.com/4-bhk-builder-floor-for-sale-in-greenfield-colony-faridabad-pppfs
r354918,Super Homes Abhirama,Hyderabad,https://www.magicbricks.com/super-homes-abhirama-lb-nagar-hyderabad-pdpid-4d4235323135303435
r430176,Elegance Pristine,Bangalore South,https://www.magicbricks.com/pristine-elegance-hsr-layout-bangalore-pdpid-4d4235303236373536
r376104,Modi Serene Park,Hyderabad,https://www.magicbricks.com/modi-serene-park-ghatkesar-hyderabad-pdpid-4d4235313835303937
r406974,Ramprastha Attalika,Ghaziabad,Not Found
r400347,Saradeuz Olympus,Chennai South,https://www.magicbricks.com/project-saradeuz-olympus-for-rent-in-chennai-pppfr
r418266,Srinidhi Iris,Hyderabad,https://www.magicbricks.com/srinidhi-iris-bachupally-hyderabad-pdpid-4d4235343234363431
r435515,Pradeep Luxury Builders Floor,East Delhi,Not Found
r390105,Riverscape,Hyderabad,https://www.magicbricks.com/urrban-riverscape-bandlaguda-jagir-hyderabad-pdpid-4d4235333333313931
r437026,Lambodara D Square City,Coimbatore,https://www.magicbricks.com/d-square-city-saravanampatti-coimbatore-pdpid-4d4235343235373237
r434859,AC Bel Air,Nasik,Not Found
r436315,Max Tech,Madurai,Not Found
r437301,Sakura Blossom,Bangalore East,https://www.magicbricks.com/project-cherry-blossom-for-sale-in-bangalore-pppfs
r390015,Radha Madhav Vrindavan Phase 3,Nagpur,https://www.magicbricks.com/radha-madhav-vrindavan-phase-iii-jamtha-nagpur-pdpid-4d4235333331333839
r401868,Nirvanaa Casa Vrindavan,Kanpur,Not Found
r413870,Pyramid Gloria,Nagpur,https://www.magicbricks.com/pyramid-gloria-pipla-nagpur-pdpid-4d4235343230313339
r376463,Urban Vista Phase 1,Kolkata East,https://www.magicbricks.com/loharuka-urban-vista-rajarhat-kolkata-pdpid-4d4235333234343131
r352,BPTP Parklands,Faridabad,https://www.magicbricks.com/bptp-parklands-neharpar-faridabad-pdpid-4d4235313135353039
r871,Ireo Victory Valley,Gurgaon,https://www.magicbricks.com/ireo-victory-valley-sector-67-gurgaon-pdpid-4d4235303231363438
r402643,DTC Sojon,Kolkata South,https://www.magicbricks.com/dtc-sojon-joka-kolkata-pdpid-4d4235333931303837
r431559,Silverglades The Legacy,Gurgaon,Not Found
r429359,Tulive Grandezza,Chennai West,https://www.magicbricks.com/property-for-sale-in-padi-chennai-pppfs
r344265,Shriram Sunshine 2,Hooghly,https://www.magicbricks.com/shriram-sunshine-one-uttarpara-kolkata-pdpid-4d4235313332363035
r386817,Shevi Utopia Gold,Pune North,https://www.magicbricks.com/shevi-utopia-gold-moshi-pune-pdpid-4d4235333334353437
r434656,Roseate Roots,Ahmedabad West,Not Found
r427302,Ratnam Opal,Ahmedabad North,https://www.magicbricks.com/project-ratnam-panorama-for-rent-in-ahmedabad-pppfr
r411500,Shapoorji Pallonji The Odyssey 1,South Mumbai,https://www.magicbricks.com/shapoorji-pallonji-the-odyssey-1-girgaon-mumbai-pdpid-4d4235343234333835
r322869,Anantnath And Forever City,Thane Outskirts,https://www.magicbricks.com/and-forever-city-diva-thane-pdpid-4d4235303932383238
r426337,M Soul Strings,Pune West,https://www.magicbricks.com/malpani-m-soul-strings-pashan-pune-pdpid-4d4235343231313931
r270000,Eureka Park By Tata Value Homes,Noida,https://www.magicbricks.com/tata-eureka-park-sector-150-noida-pdpid-4d4235313235363339
r424359,Kohinoor Uptown Avenue,Pune West,Not Found
r345843,Leverage Greenwoods Unity,Nagpur,https://www.magicbricks.com/leverage-greenwoods-unity-pipla-nagpur-pdpid-4d4235333932313235
r329969,Swargaseema Sirulaseema I,Hyderabad,Not Found
r390243,KCB Solace,Kolkata East,https://www.magicbricks.com/project-kcb-solace-for-rent-in-kolkata-pppfr
r407293,Primark Inspira,Hyderabad,https://www.magicbricks.com/primark-inspira-miyapur-hyderabad-pdpid-4d4235343133343037
r416812,Siddha Serena,Kolkata East,https://www.magicbricks.com/project-siddha-serena-for-sale-in-kolkata-pppfs
r407622,Airport Sky City,Kolkata North,Not Found
r400423,Vaanya,Kolkata East,https://www.magicbricks.com/project-ps-vaanya-3bhk-for-sale-in-kolkata-pppfs
r379731,Loharuka Green Heights Phase 2,Kolkata East,https://www.magicbricks.com/project-green-heights-ii-for-sale-in-kolkata-pppfs
r421695,Sunniva Legacy,Kolkata South,Not Found
r402373,One Meraki,Central Mumbai,https://www.magicbricks.com/one-meraki-chembur-mumbai-pdpid-4d4235333936353831
r28336,Max Heiights Majestic,Jaipur,https://www.magicbricks.com/max-heiights-majestic-sikar-road-jaipur-pdpid-4d4235303233343730
r371509,K City,Pune East,https://www.magicbricks.com/project-unique-k-city-for-sale-in-pune-pppfs
r407338,Levonor Egeira,Hyderabad,https://www.magicbricks.com/levonor-egeira-edulnagulapally-hyderabad-pdpid-4d4235343134373135
r412704,Green View Residency,Kolkata South,https://www.magicbricks.com/green-view-residency-airport-area-kolkata-pdpid-4d4235303932383836
r432596,VKG Dev Bhumi,Indore,Not Found
r418615,Edmont Aurelia,Western Mumbai,https://www.magicbricks.com/ashwin-sheth-edmont-aurelia-kandivali-west-mumbai-pdpid-4d4235343137373835
r420231,Pearl The Central Park,Ranchi,Not Found
r429111,Shalimar One World 21,Lucknow,https://www.magicbricks.com/shalimar-oneworld-21-gomtinagar-extension-lucknow-pdpid-4d4235343232343335
r395189,Swapnabhumi Township,Kolkata East,https://www.magicbricks.com/project-plots-swapnabhumi-for-sale-in-kolkata-pppfs
r380138,Sri Sai Home Ujaan Nagar,Kolkata East,https://www.magicbricks.com/ujaan-nagar-new-town-kolkata-pdpid-4d4235323833353639
r415092,The Prestige City Hyderabad,Hyderabad,https://www.magicbricks.com/the-prestige-city-rajendra-nagar-hyderabad-pdpid-4d4235343138323731
r424046,BS Vishan S Castle,Hyderabad,Not Found
r178183,Aditya Orbit,Vadodara,https://www.magicbricks.com/project-aditya-orbit-for-sale-in-vadodara-pppfs
r420301,Tarc Kailasa,West Delhi,https://www.magicbricks.com/tarc-kailasa-kirti-nagar-new-delhi-pdpid-4d4235343138333139
r7754,Pyramid Arlington County,Chennai West,Not Found
r421070,Ayyan Aathmika,Chennai South,https://www.magicbricks.com/ayyan-aathmika-medavakkam-chennai-pdpid-4d4235343231353831
r435139,The Reserve,Pune East,Not Found
r394740,Silver Oak Raipur,Raipur,https://www.magicbricks.com/samveda-silver-oak-dhansuli-raipur-pdpid-4d4235343132373833
r435863,Sunsiri The Lotus,Guntur,Not Found
r438053,Aaditya City,Pune East,https://www.magicbricks.com/1-bhk-flats-in-aditya-garden-city-pune-for-sale-pppfs
r70384,Pride World City,Pune East,Not Found
r445121,Ramky One Orion,Hyderabad,https://www.magicbricks.com/ramky-one-orion-nallagandla-gachibowli-hyderabad-pdpid-4d4235343235303939
r383302,Vasavi Ananda Nilayam,Hyderabad,https://www.magicbricks.com/vasavi-ananda-nilayam-bandlaguda-hyderabad-pdpid-4d4235333939393131
r445987,Assetz Bloom and Dell,Bangalore,https://www.magicbricks.com/assetz-bloom-and-dell-whitefield-bangalore-pdpid-4d4235343236373937
r446001,Orchid Platinum,Bangalore,https://www.magicbricks.com/orchid-platinum-jakkur-bangalore-pdpid-4d4235343236373939
r445892,Prestige Glenbrook,Bangalore,https://www.magicbricks.com/prestige-glenbrook-whitefield-bangalore-pdpid-4d4235343236373935
r445983,Purva Celestial,Bangalore,https://www.magicbricks.com/purva-celestial-bangalore-airport-area-bangalore-pdpid-4d4235343236373933
r446007,Provident Botanico,Bangalore,https://www.magicbricks.com/provident-botanico-whitefield-bangalore-pdpid-4d4235343236373931
r445998,Sobha Neopolis,Bangalore,https://www.magicbricks.com/sobha-neopolis-panathur-bangalore-pdpid-4d4235343236373938
r423416,Sree Urban Orchids Phase 2,Bangalore East,https://www.magicbricks.com/sree-urban-orchids-phase-ii-panathur-bangalore-pdpid-4d4235343136333239
r203,Active Acres,Kolkata East,https://www.magicbricks.com/ruchi-active-acres-em-bypass-kolkata-pdpid-4d4235303138383430
r414786,Kanthi Enclave Ravista Villas,Chennai South,Not Found
r427272,Sanjeevini Aarna,Bangalore East,https://www.magicbricks.com/sanjeevini-aarna-hoskote-bangalore-pdpid-4d4235343232333637
r256111,Sobha City,Gurgaon,https://www.magicbricks.com/sobha-city-sector-108-gurgaon-pdpid-4d4235303836323234
r429991,Cellesta,Kolkata North,https://www.magicbricks.com/project-cellesta-for-sale-in-kolkata-pppfs
r23690,DLF New Town Heights 2,Gurgaon,https://www.magicbricks.com/dlf-new-town-heights-2-sector-86-gurgaon-pdpid-4d4235303232373335
r399658,Iris by Raghava,Hyderabad,https://www.magicbricks.com/project-raghava-iris-for-sale-in-hyderabad-pppfs
r418941,GPS Meena Aurum phase 3,Kolkata East,https://www.magicbricks.com/astdurga-meena-aurum-phase-3-gouranganagar-kolkata-pdpid-4d4235343235323535
r434288,KCP Garden Karamadai,Coimbatore,Not Found
r433995,Shree Hari Solitaire,Surat,Not Found
r416951,Roongta Florenza,Nasik,https://www.magicbricks.com/roongta-florenza-apartment-govind-nagar-nashik-pdpid-4d4235343137353031
r420088,Harmony Blossoms,Chennai South,https://www.magicbricks.com/harmony-blossoms-east-tambaram-chennai-pdpid-4d4235343233303937
r428724,Unitd 49,Coimbatore,Not Found
r334441,Pratham Yash Vrindavan,Pune North,https://www.magicbricks.com/project-pratham-yash-vrindavan-for-rent-in-pune-pppfr
r399283,Kalpataru Aria,Thane Outskirts,https://www.magicbricks.com/kalpataru-apartment-kalyan-west-beyond-thane-pdpid-4d4235323331303331
r435535,The Privilon by Dev Vinayak,Gandhinagar,Not Found
r396529,Sree Balaji Pride,Visakhapatnam,https://www.magicbricks.com/buildsworth-balaji-pride-kurmannapalem-visakhapatnam-pdpid-4d4235313836373138
r334919,GP Aditya,Bangalore South,https://www.magicbricks.com/gp-aditya-koramangala-bangalore-pdpid-4d4235313238333531
r436049,Divis Suprabhatha,Hyderabad,Not Found
r425244,Bhoomi Serenity,Navi Mumbai,https://www.magicbricks.com/gajra-bhoomi-serenity-sector-37-kharghar-navi-mumbai-pdpid-4d4235343231313439
r427843,Kedia Shri Vatsal,Jaipur,https://www.magicbricks.com/kedia-shri-vatsal-sikar-road-jaipur-pdpid-4d4235343232363537
r296597,Trump Tower,Gurgaon,https://www.magicbricks.com/tribeca-trump-tower-sector-65-gurgaon-pdpid-4d4235313131383937
r414298,Vasavi Sarovar,Hyderabad,https://www.magicbricks.com/vasavi-sarovar-kukatpally-hyderabad-pdpid-4d4235343136383139
r427390,Casagrand Massimo,Chennai South,Not Found
r432564,ASBL Landmark,Hyderabad,https://www.magicbricks.com/asbl-landmark-kukatpally-hyderabad-pdpid-4d4235343233353235
r421330,Anamika High Point,Ahmedabad West,https://www.magicbricks.com/project-constera-anamika-high-point-for-sale-in-ahmedabad-pppfs
r2966,ALTA,Chennai South,https://www.magicbricks.com/project-catalyst-alta-for-sale-in-chennai-pppfs
r428750,Vivan Heights,Central Mumbai,https://www.magicbricks.com/vivan-heights-chembur-mumbai-pdpid-4d4235343237343033
r425841,The Ridges 41,Pune West,https://www.magicbricks.com/the-ridges-41-hinjewadi-pune-pdpid-4d4235343231313737
r431642,Siddhik Green Abalone,Ahmedabad West,Not Found
r433250,Rohan Saroha,Pune West,https://www.magicbricks.com/project-rohan-saroha-for-sale-in-pune-pppfs
r426546,Ventura,Jaipur,https://www.magicbricks.com/ventura-mansarovar-jaipur-pdpid-4d4235343234323739
r428393,Ellanza Zenistry B,Pune West,Not Found
r265661,Aishwaryam Courtyard Gold,Pune North,https://www.magicbricks.com/project-aishwaryam-courtyard-for-rent-in-pune-pppfr
r71855,The Prestige City,Central Mumbai,Not Found
r10208,VTP Township Codename  Pegasus,Pune East,https://www.magicbricks.com/vtp-township-codename-pegasus-kharadi-pune-pdpid-4d4235313835353437
r349185,Panchnai Paramjyoti,Siliguri,https://www.magicbricks.com/panchnai-paramjyoti-apartment-champasari-siliguri-pdpid-4d4235313432393835
r372188,Kanchi Big Town,Kanchipuram,https://www.magicbricks.com/sameera-kanchi-big-town-kanchipuram-chennai-pdpid-4d4235323931303335
r374451,Anuhar Towers,Hyderabad,https://www.magicbricks.com/anuhar-towers-alkapur-township-hyderabad-pdpid-4d4235323432393633
r423946,Ganguly 4 Sight Florence Phase 3,Kolkata South,https://www.magicbricks.com/4sight-florence-phase-iii-garia-kolkata-pdpid-4d4235343230343137
r367377,Sharanya Skyvue,Ahmedabad West,https://www.magicbricks.com/project-sharanya-skyvue-for-sale-in-ahmedabad-pppfs
r418960,GTK Eden Garden,Chennai South,Not Found
r368086,GKs Zenith,Secunderabad,https://www.magicbricks.com/gks-zenith-yapral-hyderabad-pdpid-4d4235313930383835
r393150,GHR Callisto,Hyderabad,https://www.magicbricks.com/ghr-callisto-kollur-hyderabad-pdpid-4d4235333331333733
r423721,RSR The Garden View Villa,Hyderabad,https://www.magicbricks.com/the-garden-view-velimela-hyderabad-pdpid-4d4235333531373733
r15646,Mahidhara Supreme,Chennai South,https://www.magicbricks.com/project-plots-mahidhara-supreme-for-sale-in-chennai-pppfs
r433403,Jain Fairmount The Arc,Hyderabad,https://www.magicbricks.com/jain-fairmount-the-arc-dundigal-hyderabad-pdpid-4d4235343234313939
r397177,Tattvam,Kolkata North,https://www.magicbricks.com/project-tattvam-for-sale-in-kolkata-pppfs
r62469,Midori Towers,Pune West,https://www.magicbricks.com/shree-venkatesh-midori-towers-phase-ii-pimple-nilakh-pune-pdpid-4d4235333332363633
r407059,Priva,Kolkata East,https://www.magicbricks.com/priva-new-town-kolkata-pdpid-4d4235343036373839
r410501,GP Homes Valencia Ruby,Chennai North,https://www.magicbricks.com/gp-homes-valencia-ruby-ayanambakkam-chennai-pdpid-4d4235343138313131
r6670,Ireo The Corridors,Gurgaon,https://www.magicbricks.com/ireo-the-corridors-sector-67a-gurgaon-pdpid-4d4235303231363539
r398366,Dashmesh Empire,Thane Outskirts,https://www.magicbricks.com/dashmesh-empire-badlapur-beyond-thane-pdpid-4d4235333335373135
r5954,Valley,Greater Noida,https://www.magicbricks.com/diligent-valley-noida-extension-greater-noida-pdpid-4d4235343137383037
r267281,SBP City of Dreams,Mohali,https://www.magicbricks.com/project-sbp-city-of-dreams-for-sale-in-mohali-pppfs
r387200,The Solitaire Crown,Dehradun,https://www.magicbricks.com/solitaire-crown-general-mahadev-singh-road-dehradun-pdpid-4d4235343233353633
r393363,Pawa Blossom,Nasik,Not Found
r420320,VR Vivanta,Vadodara,Not Found
r411075,Shubhashish Prakash,Jaipur,https://www.magicbricks.com/shubhashish-prakash-mansarovar-extension-jaipur-pdpid-4d4235343137333135
r332999,Mega Sarovar,Vijayawada,https://www.magicbricks.com/mega-sarovar-gollapudi-vijayawada-pdpid-4d4235313236313033
r416320,Sumadhura Sushantham Phase 2,Bangalore North,https://www.magicbricks.com/sumadhura-sushantham-vidyaranyapura-bangalore-pdpid-4d4235313431343431
r306817,Concorde Hill Crest,Bangalore North,https://www.magicbricks.com/project-plots-concorde-hill-crest-for-sale-in-bangalore-pppfs
r388209,Sharanya Altura,Ahmedabad West,https://www.magicbricks.com/project-sharanya-altura-for-sale-in-ahmedabad-pppfs
r393393,Sahjanand Safal,Gandhinagar,https://www.magicbricks.com/sahjanand-safal-gandhinagar-gandhinagar-pdpid-4d4235343230363931
r206111,Windsor Troika,Bangalore South,https://www.magicbricks.com/project-windsor-troika-2bhk-for-sale-in-bangalore-pppfs
r390246,Candeur Crescent,Hyderabad,https://www.magicbricks.com/candeur-crescent-serilingampally-hyderabad-pdpid-4d4235333332353339
r293775,S B Skanda Lake Front,Bangalore South,https://www.magicbricks.com/sb-skanda-lake-front-kanakapura-road-bangalore-pdpid-4d4235323933363531
r425506,Casagrand Amor,Bangalore South,https://www.magicbricks.com/project-casagrand-amor-for-sale-in-bangalore-pppfs
r384290,Godrej Park Retreat,Bangalore East,https://www.magicbricks.com/godrej-park-retreat-sarjapur-road-bangalore-pdpid-4d4235333236323037
r411643,Vivaan Solitaire,Ahmedabad North,https://www.magicbricks.com/project-vivaan-solitaire-3bhk-for-sale-in-ahmedabad-pppfs
r420217,Ultraluxe Homes by Earthz,South Delhi,Not Found
r424425,Abhay Nilima Enclave,Guwahati,https://www.magicbricks.com/abhay-nilima-enclave-azara-guwahati-pdpid-4d4235333234393939
r433359,Shriram Codename Smash Hit,Bangalore North,https://www.magicbricks.com/shriram-codename-smash-hit-rajanukunte-bangalore-pdpid-4d4235343234313337
r434569,Thai Advaith,Chennai South,https://www.magicbricks.com/thai-homes-madipakkam-chennai-pdpid-4d4235343132333137
r433762,Opus 96,Chennai South,https://www.magicbricks.com/urbanrise-opus-96-tambaram-chennai-pdpid-4d4235343235303131
r435509,Kalpataru Blossoms,Pune South,Not Found
r418956,AS Sarvayoni Paradise,Kolkata South,https://www.magicbricks.com/Haridhan-Chakraborty-Sarani-in-Kolkata-Overview
r436833,Anjaneya Ritz by Yash Infraventures,Nagpur,Not Found
r429459,Kolte Patil Springshire,Pune East,https://www.magicbricks.com/project-kolte-patil-springshire-2bhk-for-sale-in-pune-pppfs
r370636,Mali Pinnacle,Thane Outskirts,Not Found
r383092,Birla Niyaara,South Mumbai,Not Found
r415891,Palm Amore,Navi Mumbai,https://www.magicbricks.com/gami-palm-amore-seawoods-navi-mumbai-pdpid-4d4235343139343135
r378330,Bhardwaj Sky,Raipur,https://www.magicbricks.com/project-bhardwaj-sky-for-sale-in-raipur-pppfs
r257091,RKN Nakshatra Enclave,Bhopal,https://www.magicbricks.com/nakshatra-enclave-awadhpuri-bhopal-pdpid-4d4235303836373137
r393354,Amardeep Sky,Vadodara,Not Found
r427769,Sattva Green Groves,Bangalore West,Not Found
r432487,Kalra Apartment and Floors,West Delhi,https://www.magicbricks.com/kalra-luxurious-homes-uttam-nagar-new-delhi-pdpid-4d4235313130333437
r320141,Godrej Air,Gurgaon,https://www.magicbricks.com/godrej-air-sector-85-gurgaon-pdpid-4d4235313139343037
r407174,Metro Tranquil,Secunderabad,Not Found
r405003,Radhey Skye,Hyderabad,https://www.magicbricks.com/cloudswood-radhey-skye-kollur-hyderabad-pdpid-4d4235333934353735
r407585,Casa De Nagoa,South Goa,https://www.magicbricks.com/parekh-casa-de-nagoa-nagao-goa-pdpid-4d4235343234313831
r434435,Dream Kashi Bliss,Varanasi,Not Found
r406648,PM Uplands,Indore,https://www.magicbricks.com/project-plots-pm-uplands-for-sale-in-indore-pppfs
r405172,Jains Fairmount Sri Ram Garden 2,Hyderabad,https://www.magicbricks.com/jains-fairmount-sri-ram-garden-2-kompally-hyderabad-pdpid-4d4235343230383835
r410495,Uttarayan Prakriti,Jorhat,Not Found
r397111,Amantran,Kolkata South,https://www.magicbricks.com/eden-group-amantran-joka-kolkata-pdpid-4d4235333838343039
r413782,Kumar Magnacity,Pune South,Not Found
r347199,Samruddhi Skyrise 1,Vadodara,https://www.magicbricks.com/samruddhi-skyrise-1-kalali-vadodara-pdpid-4d4235313331363835
r378542,Sophia Elanza,Kochi,https://www.magicbricks.com/sophia-elanza-vengola-ernakulam-pdpid-4d4235343031393131
r402370,Vasavi Crown East,Hyderabad,https://www.magicbricks.com/vasavi-crown-east-uppal-hyderabad-pdpid-4d4235333930323333
r434412,Veda Vilasa Villaments,Bangalore West,Not Found
r375399,Ira Miracle,Hyderabad,https://www.magicbricks.com/ira-miracle-kollur-hyderabad-pdpid-4d4235323135373731
r437911,R Tech Palmera Garden,Jaipur,https://www.magicbricks.com/palmera-garden-ajmer-road-jaipur-pdpid-4d4235343236303833
r294215,Arihant Aspire,Navi Mumbai,https://www.magicbricks.com/arihant-aspire-panvel-navi-mumbai-pdpid-4d4235313130373037
r415650,Eldeco La Vida Bella,Greater Noida,https://www.magicbricks.com/eldeco-la-vida-bella-noida-extension-greater-noida-pdpid-4d4235343230363135
r379918,Nimbus Express Park View 2 Low Rise,Greater Noida,https://www.magicbricks.com/nimbus-express-park-view-ii-low-rise-chi-5-greater-noida-pdpid-4d4235333332343933
r341763,Escon Primera,Chandigarh,https://www.magicbricks.com/malwa-escon-primera-airport-road-zirakpur-pdpid-4d4235313438323233
r428837,Daksh Triverra,Nasik,https://www.magicbricks.com/flats-in-panchvati-nashik-for-sale-pppfs
r371923,Manglam Anantara,Jaipur,https://www.magicbricks.com/manglam-the-villas-ajmer-road-jaipur-pdpid-4d4235323332323335
r403911,Aarya Essenzaa 2,Vadodara,https://www.magicbricks.com/aarya-essenzaa-waghodia-road-vadodara-pdpid-4d4235333033383435
r431525,Om ShivChhaya,Nasik,Not Found
r270128,AlamoXsreal Tuscany,Chennai South,https://www.magicbricks.com/flats-in-chettipunyam-chennai-for-sale-pppfs
r324931,Satvik Homes,Faridabad,Not Found
r430414,Sree Adhitya Lotus Park,Bangalore East,https://www.magicbricks.com/adithya-lotus-park-k-r-puram-bangalore-pdpid-4d4235343232313333
r428685,MP Golden Heights,Chennai West,https://www.magicbricks.com/mp-golden-heights-kovur-chennai-pdpid-4d4235343232333131
r417410,Aashirwad Vrindavan,Kota,https://www.magicbricks.com/aashirwad-gokul-mbs-road-kota-pdpid-4d4235323235313533
