XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r395412,Ashiana Malhar,"Hinjewadi, Pune",Rs76.02 Lac - 1.11 Cr,N/A,Mid Stage,"2, 3 BHK",645 Sq. Ft to 948 Sq. Ft (Carpet),Ashiana,990 units,11 Acres,Ask for Details,Ask for Details,Hinjewadi,Pune West,"Pune ' s most sought-after location, Hinjewadi, for remarkable returns.,Walking distance from Mumbai-Bangalore Highway and Hinjewadi Road.,Dual RERA approvals for assured returns and peace of mind.,Well-equipped gymnasium for a healthy and active lifestyle.,Power backup ensured for a seamless living experience.",https://www.squareyards.com/ashiana-projects/17/builder,40 Years Experience,7,39,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Attached Market; PNG; Treated Water Supply; Podium Parking; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Party Hall; Clubhouse; Amphitheater; Indoor Games
r409008,Sobha Neopolis,"Panathur, Bangalore",Rs94.23 Lac - 3.83 Cr,N/A,Mid Stage,"1, 3, 4 BHK",660 Sq. Ft to 2481 Sq. Ft (Saleable),Sobha,1886 units,25.35 Acres,Ask for Details,Ask for Details,Panathur,East Bangalore,"Strategically located near NH 44, HAL Airport Road and Varthur Main Road for easy connectivity,Experience luxury living with top-notch amenities like power backup and gymnasium,Choose from various unit options, including 1 BHK, 3 BHK, and 4 BHK apartments,Enjoy a comfortable living space with world-class specifications like plastic emulsion walls,Get ready to move in to your new home with RERA-approved units,Discover the perfect blend of comfort and convenience at Sobha Neopolis",https://www.squareyards.com/sobha-projects/104/builder,24 Years Experience,13,179,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Restaurant; Treated Water Supply; Day Care Center; Laundromat; Guest House; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Dance Room; Mini Theatre; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Senior Citizen Area
r369336,Om Sree Brilliance,"Sainikpuri, Hyderabad",Rs1.43 Cr - 1.47 Cr,"Rs6,700 Per Sq. Ft",Ready to Move,3 BHK,2130 Sq. Ft to 2200 Sq. Ft (Saleable),Om Shree Tirupati Balaji Build,200 units,3 Acres,Ask for Details,Ask for Details,Sainikpuri,Secunderabad,N/A,https://www.squareyards.com/om-shree-tirupati-balaji-build-projects/9224/builder,N/A,2,N/A,REA02400000010,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track,Power Backup; PNG; Guest House; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Solar Lighting,Party Hall; Clubhouse; Indoor Games
r367669,Assetz Canvas And Cove,"Hosur Road, Bangalore",Rs47.00 Lac - 2.28 Cr,"Rs12,500 Per Sq. Ft",Mid Stage,"2, 3 BHK",376 Sq. Ft to 1825 Sq. Ft (Saleable),Assetz Homes,1971 units,17 Acres,Ask for Details,Ask for Details,Hosur Road,South Bangalore,"Near Hosur Road, NICE Peripheral Ring Road connectivity for easy commute.,Enjoy worry-free living with 24 x 7 Security and Power Backup.,Breathe fresh air with Rain Water Harvesting and 69% open area.,Stay fit with Gymnasium and relax in Reading Room/Library close by.,Exclusive amenities like Luxury Clubhouse make it an unbeatable investment opportunity.",https://www.squareyards.com/assetz-homes-projects/429/builder,N/A,9,33,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Beach Volleyball,Power Backup; Solar Heaters; Treated Water Supply; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Conference Room
r434202,Nidhi Industrial Estate,"Vasai East, Palghar",Price on Request,N/A,Ready to Move,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,,N/A,N/A,N/A,N/A,N/A,Structure: RCC Frame Structure,N/A,N/A,24 x 7 Security,Normal Park / Central Green,N/A
r375899,Nysa Skydale,"Chhani, Vadodara",Price on Request,N/A,Ready to Move,"2, 3 BHK",1430 Sq. Ft to 2500 Sq. Ft (Saleable),Ask for Details,400 units,5.05 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,,N/A,N/A,N/A,N/A,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Skating Rink,Restaurant; Treated Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,N/A,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games
r390836,Anand Bhavan Vile Parle West,"Vile Parle West, Mumbai",Price on Request,N/A,Ready to Move,1 BHK,260 Sq. Ft (Saleable),Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Vile Parle West,Mumbai Western Suburbs,,N/A,N/A,N/A,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r344821,Sunteck City Avenue 1,"Goregaon West, Mumbai",Rs2.90 Cr - 3.62 Cr,"Rs24,784 Per Sq. Ft",Ready to Move,"2, 3 BHK",773 Sq. Ft to 965 Sq. Ft (Carpet),Sunteck,429 units,23 Acres,Ask for Details,"Mar 30, 2020",Goregaon West,Mumbai Western Suburbs,"State-of-the-art gymnasium, perfect for fitness enthusiasts.,Power backup provision, ensuring uninterrupted living.,Strategically located near Goregaon Link Road, Swami Vivekanand Road, and Western Express Highway.,Luxurious Master Bedroom with acrylic emulsion walls and vitrified tiles flooring.,RERA approved, providing a secure and transparent investment.",https://www.squareyards.com/sunteck-projects/603/builder,19 Years Experience,8,26,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Jacuzzi; Senior Citizen Area
r422622,Wadhwa Wise City,"Old Panvel, Navi Mumbai",Rs43.00 Lac - 3.55 Cr,"Rs6,552 Per Sq. Ft",Mid Stage,"1, 2, 3, 4 BHK",289 Sq. Ft to 2131 Sq. Ft (Carpet),The Wadhwa Group,5438 units,138 Acres,Ask for Details,"May 22, 2019",Old Panvel,Panvel,,https://www.squareyards.com/the-wadhwa-group-projects/608/builder,50 Years Experience,7,75,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Rappelling/Rock Climbing,Power Backup; Attached Market; Treated Water Supply; Medical Facility; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Multi Brand Retail; High Street Retail; Senior Citizen Area
r332831,Prateek Canary,"Sector 150, Noida",Rs2.43 Cr - 4.80 Cr,"Rs14,300 Per Sq. Ft",Under Construction,"3, 4 BHK",1700 Sq. Ft to 3355 Sq. Ft (Saleable),Prateek Group,664 units,12.55 Acres,Ask for Details,"Jun 22, 2019",Sector 150,Noida Expressway,"Strategically located near NoidaGreater Noida Expressway connect.,Widely connected to Yamuna Expressway, 5 km away.,Register under UPRERAPRJ591510, RERA certified project.,Unwind at the gym and enjoy 24x7 power backup.,Luxurious 3 BHK flats with acrylic emulsion walls.,Laminated wooden flooring in master bedrooms.",https://www.squareyards.com/prateek-group-projects/175/builder,14 Years Experience,2,13,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Mini Theatre; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Spa; Senior Citizen Area
r428449,Dharani Mythri Grande,"Guntur, Vijayawada",Price on Request,N/A,New Launch,3 BHK,1199 Sq. Ft to 1209 Sq. Ft (Carpet),Dharani Infra,10 units,0.12 Acres,Ask for Details,Ask for Details,Guntur,Vijayawada Central,,https://www.squareyards.com/dharani-infra-projects/16984/builder,N/A,1,2,A15051800006,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r388872,Elan The Emperor,"Sector 106, Gurgaon",Rs12.99 Cr - 31.82 Cr,"Rs30,750 Per Sq. Ft",New Launch,"4, 5 BHK",4223 Sq. Ft to 10347 Sq. Ft (Saleable),Elan Group,580 units,50 Acres,Ask for Details,Ask for Details,Sector 106,Dwarka Expressway,"Strategically located near major roads for easy connectivity,Premium Italian marble flooring for luxurious living,Sleek gymnasium for a fit and active lifestyle,Power backup facilities ensure seamless living experience,Amenities-packed living with focus on health and convenience,Low-maintenance Acrylic emulsion walls for stylish interiors",https://www.squareyards.com/elan-group-projects/2431/builder,6 Years Experience,6,6,660/2017/307,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Party Hall; Clubhouse; Amphitheater; Indoor Games
r410569,Samruddhi Ashok Vatika,"Bill, Vadodara",Price on Request,N/A,Ready to Move,3 BHK,1400 Sq. Ft (Saleable),Ask for Details,60 units,2.87 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,N/A,N/A,N/A,N/A,N/A,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Gazebo,Treated Water Supply,24 x 7 Security; CCTV / Video Surveillance,N/A,Clubhouse; Indoor Games
