XID,Data Point,Housing,MagicBricks,SquareYards
153,USP,,"Connectivity:
Escorts Mujesar 7 km | 30 min | Infrastructure:
Main Bypass roa... 5 km | 20 min | DPS Greater Far... 7 km | 30 min | Sarvodaya Hospi... 7 km | 30 minView More | Neighborhood:
Sector 76 2 km | 15 min | Sector 73 2 km | 15 min | Sector 78 3 km | 15 min | USP:
Sector-77 is a host of infrastructural developments and transportation services that connect several other localities. The residential projects are strategically located so that traveling and accessing commercial zones is hassle-free.","Gated community with easy access to Faridabad Bypass Road.,Strategically located near Tigaon Road and BPTP Bridge Road.,Luxurious apartments with sleek design and beautiful vistas.,High-tech gymnasium and reliable power backup.,Vitrified tiles flooring and Oil Bound Distemper paints used."
153,Builder Experience,,56+ years,
153,Total Towers,,20,
153,Rera Number,,,660/2017/307
153,Name,,KLJ Greens,KLJ Greens
153,Location,,"Sector 77, Faridabad","Sector 77, Faridabad"
153,Builder Name,,KLJ Developers Pvt. Ltd.,KLJ
153,Price Range,,,Rs38.37 Lac - 64.23 Lac
153,Price per Sq.Ft,,Rs 2866,
153,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
153,Property Type,,,
153,Project Status,,,Ready to Move
153,Launch Date,,,Ask for Details
153,Possession Date,,,Ask for Details
153,Total Units,,1064.0,1064 units
153,Project Size (Acres),,51 Acre,51 Acres
153,Amenities Count,,20,
153,USP,,"Connectivity:
Escorts Mujesar 7 km | 30 min | Infrastructure:
Main Bypass roa... 5 km | 20 min | DPS Greater Far... 7 km | 30 min | Sarvodaya Hospi... 7 km | 30 minView More | Neighborhood:
Sector 76 2 km | 15 min | Sector 73 2 km | 15 min | Sector 78 3 km | 15 min | USP:
Sector-77 is a host of infrastructural developments and transportation services that connect several other localities. The residential projects are strategically located so that traveling and accessing commercial zones is hassle-free.","Gated community with easy access to Faridabad Bypass Road.,Strategically located near Tigaon Road and BPTP Bridge Road.,Luxurious apartments with sleek design and beautiful vistas.,High-tech gymnasium and reliable power backup.,Vitrified tiles flooring and Oil Bound Distemper paints used."
153,Builder Experience,,56+ years,
153,Total Towers,,,
153,Rera Number,,,660/2017/307
153,Name,,KLJ Greens,KLJ Greens
153,Location,,"Sector 77, Faridabad","Sector 77, Faridabad"
153,Builder Name,,KLJ Developers Pvt. Ltd.,KLJ
153,Price Range,,,Rs38.37 Lac - 64.23 Lac
153,Price per Sq.Ft,,Rs 2866,
153,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
153,Property Type,,,
153,Project Status,,,Ready to Move
153,Launch Date,,,Ask for Details
153,Possession Date,,,Ask for Details
153,Total Units,,1064.0,1064 units
153,Project Size (Acres),,51 Acre,51 Acres
153,Amenities Count,,20,
153,USP,,"Connectivity:
Escorts Mujesar 7 km | 30 min | Infrastructure:
Main Bypass roa... 5 km | 20 min | DPS Greater Far... 7 km | 30 min | Sarvodaya Hospi... 7 km | 30 minView More | Neighborhood:
Sector 76 2 km | 15 min | Sector 73 2 km | 15 min | Sector 78 3 km | 15 min | USP:
Sector-77 is a host of infrastructural developments and transportation services that connect several other localities. The residential projects are strategically located so that traveling and accessing commercial zones is hassle-free.","Gated community with easy access to Faridabad Bypass Road.,Strategically located near Tigaon Road and BPTP Bridge Road.,Luxurious apartments with sleek design and beautiful vistas.,High-tech gymnasium and reliable power backup.,Vitrified tiles flooring and Oil Bound Distemper paints used."
153,Builder Experience,,56+ years,
153,Total Towers,,,
153,Rera Number,,,660/2017/307
352,Name,BPTP Parklands Pride,BPTP Parkland,BPTP Parkland Pride
352,Location,"Sector 77, Faridabad","Sector 76, Faridabad","Sector 77, Faridabad"
352,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
352,Price Range,71.0 L - 1.22 Cr,,Rs65.00 Lac - 1.06 Cr
352,Price per Sq.Ft,,,
352,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
352,Property Type,,,
352,Project Status,,Ready To Move,Ready to Move
352,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",1-Aug-09,Ask for Details
352,Possession Date,0,1-Jul-11,Ask for Details
352,Total Units,,5000.0,660 units
352,Project Size (Acres),0,20 Acre,102.86 Acres
352,Amenities Count,,7,
352,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
352,Builder Experience,,22+ years,16 Years Experience
352,Total Towers,,,
352,Rera Number,Not Found,,660/2017/307
743,Name,Logix Blossom County,Logix Blossom County,Logix Blossom County
743,Location,"Sector 137, Noida-Greater Noida Expressway, Noida","Sector 137, Noida","Sector 137, Noida"
743,Builder Name,LOGIX GROUP,Logix Group,Logix
743,Price Range,Price on Request,Rs 98.7 Lac - Rs 2.77 Cr,Rs1.07 Cr - 1.98 Cr
743,Price per Sq.Ft,,Rs 4545,"Rs10,586 Per Sq. Ft"
743,BHK,"2, 3, 4 BHK Apartments",2 BHK Flats,"2, 3, 4 BHK"
743,Property Type,,Flat,
743,Project Status,,Ready To Move,Ready to Move
743,Launch Date,"Mar, 2010 Avg. Price: Price on request",1-Jun-10,Ask for Details
743,Possession Date,"Oct, 2018",1-Jun-18,30-Jun-18
743,Total Units,,1600.0,1600 units
743,Project Size (Acres),25 Acres,25 Acre,25 Acres
743,Amenities Count,,12,
743,USP,Not Found,"Exquisitely crafted towers | Varying heights set to define the city horizon. | Spread across 25 acres | 2, 3 & 4 BHK apartments and penthouses | Pollution-free environment | Intricately designed interiors | Exclusive club house | An array of luxuries | Location Advantage:
Strategically located in Sector 137, Noida | Within 1 km distance from the FNG Expressway | Adjacent to proposed metro station at Sector 137 | Close to the corporate and commercial districts of Noida | Leading schools and hospitals in a radius of 5 km | En route to F1 racing track | Adjoining large sector parks | Abutted by 45 m wide road on two sides and a 24 m wide road on the third",
743,Builder Experience,,28+ years,22 Years Experience
743,Total Towers,,18,
743,Rera Number,UPRERAPRJ4466,,UPRERAAGT10119
1030,Name,,M3M Golf Estate,M3M Golf Estate
1030,Location,,"Sector 65, Gurgaon","Sector 65, Gurgaon"
1030,Builder Name,,M3M India Pvt. Ltd.,M3M
1030,Price Range,,11.40 Cr,Rs4.46 Cr - 8.70 Cr
1030,Price per Sq.Ft,,Rs 11000,"Rs13,950 Per Sq. Ft"
1030,BHK,,"3,4,5 BHK Flats","3, 4, 5 BHK"
1030,Property Type,,Flat,
1030,Project Status,,Ready To Move,Ready to Move
1030,Launch Date,,1-Mar-11,Ask for Details
1030,Possession Date,,1-Mar-17,30-Sep-18
1030,Total Units,,870.0,2250 units
1030,Project Size (Acres),,56 Acre,56 Acres
1030,Amenities Count,,9,
1030,USP,,"3 & 4 Bedroom spacious residences from 279 sq. mtrs. (3000 sq.ft.) onwards | Set amidst sprawling 56+ acres | Located in Sector-65 on the coveted Golf Course Road (Extn.) | A mix of high rise and mid-rise residential towers | Immaculately designed by ARCOP International, Canada | Apartments overlook the designer 09 hole executive golf course | Studded with 101 lifestyle amenities | Rs 4 Cr. onwards | Location Advantage:
Connectivity
Sector 55-56 Ra. 5 km | 20 min | Sector 54 Chowk. 6 km | 25 min | Infrastructure
St. Xavier's Hi.2 km | 15 min | Raheja Mall 6 km | 30 min | Artemis Hospita. 3 km | 15 min | DPS Internation. 2 km | 15 min | Sohna Road 4 km | 20 min | Neighborhood
Sector-64 2 km | 15 min | Sector-50 3 km | 15 min | Sector-38 4 km | 20 min",
1030,Builder Experience,,18+ years,12 Years Experience
1030,Total Towers,,25,
1030,Rera Number,,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,Property Type,,,
1239,Project Status,,,Ready to Move
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,660 units
1239,Project Size (Acres),0,,102.86 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride Phase 2
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,3 BHK
1239,Property Type,,,
1239,Project Status,,,Under Construction
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,152 units
1239,Project Size (Acres),0,,19.96 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,Property Type,,,
1239,Project Status,,,Ready to Move
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,660 units
1239,Project Size (Acres),0,,102.86 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride Phase 2
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,3 BHK
1239,Property Type,,,
1239,Project Status,,,Under Construction
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,152 units
1239,Project Size (Acres),0,,19.96 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,Property Type,,,
1239,Project Status,,Ready To Move,Ready to Move
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",01 March 2011,Ask for Details
1239,Possession Date,0,01 December 2015,Ask for Details
1239,Total Units,,660.0,660 units
1239,Project Size (Acres),0,,102.86 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride Phase 2
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,3 BHK
1239,Property Type,,,
1239,Project Status,,Ready To Move,Under Construction
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",01 March 2011,Ask for Details
1239,Possession Date,0,01 December 2015,Ask for Details
1239,Total Units,,660.0,152 units
1239,Project Size (Acres),0,,19.96 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,Property Type,,,
1239,Project Status,,Ready To Move,Ready to Move
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",01 March 2011,Ask for Details
1239,Possession Date,0,01 December 2015,Ask for Details
1239,Total Units,,660.0,660 units
1239,Project Size (Acres),0,,102.86 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride Phase 2
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,3 BHK
1239,Property Type,,,
1239,Project Status,,Ready To Move,Under Construction
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",01 March 2011,Ask for Details
1239,Possession Date,0,01 December 2015,Ask for Details
1239,Total Units,,660.0,152 units
1239,Project Size (Acres),0,,19.96 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,Property Type,,,
1239,Project Status,,,Ready to Move
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,660 units
1239,Project Size (Acres),0,,102.86 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride Phase 2
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,3 BHK
1239,Property Type,,,
1239,Project Status,,,Under Construction
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,152 units
1239,Project Size (Acres),0,,19.96 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,Property Type,,,
1239,Project Status,,,Ready to Move
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,660 units
1239,Project Size (Acres),0,,102.86 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride Phase 2
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac
1239,Price per Sq.Ft,,,
1239,BHK,"3, 4 BHK Apartments",,3 BHK
1239,Property Type,,,
1239,Project Status,,,Under Construction
1239,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,Possession Date,0,,Ask for Details
1239,Total Units,,660.0,152 units
1239,Project Size (Acres),0,,19.96 Acres
1239,Amenities Count,,0,
1239,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,Builder Experience,,22+ years,16 Years Experience
1239,Total Towers,,,
1239,Rera Number,Not Found,,660/2017/307
1239,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
