XID,Phase,Data Point,Housing,MagicBricks,SquareYards
153,1,Specifications,,"Earthquake Resistant R.C.C. Framed Structure With Infill Brickwork
Internal: All internal walls plastered and painted in pleasing shades of oil bound distemper and P.O.P. cornice in drawing and dining areas.
External : Aesthetically designed classical exterior with texture paint finish.
Living Dining: Vitrified Tile Flooring.
Bedrooms: Vitrified Tile Flooring.
Balconies: Anti skid Ceramics Tiles
Dado: Selected Ceramics Tiles .
Flooring: Anti Skid Ceramic Tile Flooring and Granite Counter Top For Wash Basins.
Fittings: Wash Basin, Ewc, A Mirror, Tower rail, Hot and Cold Water Mixer Fittings Without Geyser
Flooring: Anti Skid Ceramic Tile Flooring
Dado: Ceramic Tiles Up To 2 feet Height Above Working Platform, Rest With Acrylic Emulsion Paint
Platform: Working Platform In Granite Top With Stainless Steel Sink
Powder Coated Aluminium Windows Equivalent With Shutters
All Doors Shall Be Hardwood Frame Quality Flush Doors
All Doors Shutters Shall Be Flush Type Except Main Entrance Door, Which Shall Be Of Decorative Type
With Eyepiece, Night Latch, Safety Chain and Good Quality Brass Fittings.
Hot and Cold Water Mixing Arrangement In Each Flat, 24hrs Hours Water Supply Ensured With Large underground and overhead tanks with boosting arrangement
PVC recessed copper wiring with provision of Ac point in all rooms With Convenient and Adequate Provision Of Light and Power As Well As T.V. and Telephone Points In All Rooms
Granite Finish Lift Lobby For Electrically Controlled Lifts With 100 percent Power Backup
3 Phase connection in all flats with mandatory power back up facilities of 5 K.V.A.
Kota Stone Flooring.",Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel; Structure: RCC Frame Structure
153,1,Amenities,,"Club House, Cafeteria/Food Court, Outdoor Tennis Courts, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Intercom Facility, Bank & ATM, Banquet Hall, Gymnasium, AEROBICS ROOM, Flower Gardens, Vaastu Compliant, Internet/Wi-Fi Connectivity, Earth quake resistant, Event Space & Amphitheatre, Fire Fighting Equipment",
153,1,Price Range,,,Rs38.37 Lac - 64.23 Lac
153,1,Property Type,,,
153,1,Project Status,,,Ready to Move
153,1,Launch Date,,,Ask for Details
153,1,Possession Date,,,Ask for Details
153,1,Total Towers,,,
352,1,Name,BPTP Parklands Pride,BPTP Parkland,BPTP Parkland Pride
352,1,Location,"Sector 77, Faridabad","Sector 76, Faridabad","Sector 77, Faridabad"
352,1,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
352,1,Price Range,71.0 L - 1.22 Cr,,Rs65.00 Lac - 1.06 Cr
352,1,Price per Sq.Ft,,,
352,1,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
352,1,Property Type,,,
352,1,Project Status,,Ready To Move,Ready to Move
352,1,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",1-Aug-09,Ask for Details
352,1,Possession Date,0,1-Jul-11,Ask for Details
352,1,Total Units,,5000.0,660 units
352,1,Project Size (Acres),0,20 Acre,102.86 Acres
352,1,Amenities Count,,7.0,
352,1,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
352,1,Builder Experience,,22+ years,16 Years Experience
352,1,Total Towers,,,
352,1,Rera Number,Not Found,,660/2017/307
352,1,Specifications,,,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure
352,1,Amenities,Waiting Lounge Cricket Pitch Changing Room Swimming Pool Fountains Vastu Compliant Table Tennis Mini Theatre Gymnasium Kid's Pool Fire Fighting System Car Parking 24X7 Water Supply Multipurpose Room Jogging Track Gated Community Indoor Games Pergola Lawn Tennis Court Club House Children's Play Area Partial Power Backup Yoga / Meditation Area Lift(s) Badminton Court 24x7 CCTV Surveillance Sun Deck Video Door Security Restaurant Multipurpose Hall Basketball Court Staff Quarter Paved Compound Banquet Hall Rain Water Harvesting Library 24x7 Security Power Backup Cafeteria Billiards / Snooker Table Less Source_URL: https://housing.com/in/buy/projects/page/44580-bptp-parklands-pride-by-bptp-limited-in-sector-77 Extraction_Date: 2025-04-02 03:32:42  Processing URL 1112/5207: https://housing.com/in/buy/projects/page/1653-ireo-victory-valley-by-ireo-in-sector-67,"Security, Park, Kids Club, DTH Television Facility, Laundry Service, Waste Disposal, Fire Fighting Equipment",
743,1,Name,Logix Blossom County,Logix Blossom County,Logix Blossom County
743,1,Location,"Sector 137, Noida-Greater Noida Expressway, Noida","Sector 137, Noida","Sector 137, Noida"
743,1,Builder Name,LOGIX GROUP,Logix Group,Logix
743,1,Price Range,Price on Request,Rs 98.7 Lac - Rs 2.77 Cr,Rs1.07 Cr - 1.98 Cr
743,1,Price per Sq.Ft,,Rs 4545,"Rs10,586 Per Sq. Ft"
743,1,BHK,"2, 3, 4 BHK Apartments",2 BHK Flats,"2, 3, 4 BHK"
743,1,Property Type,,Flat,
743,1,Project Status,,Ready To Move,Ready to Move
743,1,Launch Date,"Mar, 2010 Avg. Price: Price on request",1-Jun-10,Ask for Details
743,1,Possession Date,"Oct, 2018",1-Jun-18,30-Jun-18
743,1,Total Units,,1600.0,1600 units
743,1,Project Size (Acres),25 Acres,25 Acre,25 Acres
743,1,Amenities Count,,12.0,
743,1,USP,Not Found,"Exquisitely crafted towers | Varying heights set to define the city horizon. | Spread across 25 acres | 2, 3 & 4 BHK apartments and penthouses | Pollution-free environment | Intricately designed interiors | Exclusive club house | An array of luxuries | Location Advantage:
Strategically located in Sector 137, Noida | Within 1 km distance from the FNG Expressway | Adjacent to proposed metro station at Sector 137 | Close to the corporate and commercial districts of Noida | Leading schools and hospitals in a radius of 5 km | En route to F1 racing track | Adjoining large sector parks | Abutted by 45 m wide road on two sides and a 24 m wide road on the third",
743,1,Builder Experience,,28+ years,22 Years Experience
743,1,Total Towers,,18,
743,1,Rera Number,UPRERAPRJ4466,,UPRERAAGT10119
743,1,Specifications,,"High quality vitrified tiles
High quality vitrified tiles
High quality vitrified tiles
Branded antiskid ceramic tiles
European laminated wooden flooring
Branded anti-skid ceramic tiles
Kitchen
Ceramic glazed tilesToilet
Ceramic tiles up to 7 feet
Inside wall and Finish
Drawing dining with plastic and All other internal walls with OBD OTHERS
Granite counter top, stainless steel sink with drain bord
Hardwood frames veneer finished entrance doors and flush, skin
External aluminum
Kajaria, Somany or equivalents, Sanitary ware : hindware,cera, equivalent, fittings: jaquar, equivalent
Copper wiring in concealed PVC conduits Sufficient light and power points. Provision for tv,telephone points in living room and all bedrooms, ac points in all rooms, Power connections for chimney, exhaust, toaster/microwave, fridge and RO.","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Chimney, Refrigrator, Microwave; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure"
743,1,Amenities,Tennis Court Spa Swimming Pool Vastu Compliant Landscaping & Tree Planting Gymnasium Fire Fighting System Medical Store/Pharmacy Medical Facilities Golf Course Closed Car Parking Car Parking 24X7 Water Supply Multipurpose Room Jogging Track Street Lighting Gated Community Indoor Games Cycling & Jogging Track Sports Facility Lawn Tennis Court Sewage Treatment Plant Club House Children's Play Area Service Lift Yoga / Meditation Area Security Cabin Lift(s) Multipurpose Hall Community Hall Basketball Court Staff Quarter Conference Room Spa/Sauna/Steam Banquet Hall ATM Rain Water Harvesting Library 24x7 Security Jacuzzi Power Backup Cafeteria Less Source_URL: https://housing.com/in/buy/projects/page/29436-logix-blossom-county-by-logix-group-in-sector-137 Extraction_Date: 2025-04-02 05:13:02  Processing URL 1281/5207: https://housing.com/buy-harish-bhairav-by-harish-homes-in-vellakinar-village-coimbatore-pid-274591,"Club House, Jogging and Strolling Track, Private Terrace/Garden, Swimming Pool, Park, Service/Goods Lift, Gymnasium, Kids Club, Meditation Area, Conference Room, Event Space & Amphitheatre, Kids Play Pool With Water Slides",
1030,1,Name,,M3M Golf Estate,M3M Golf Estate
1030,1,Location,,"Sector 65, Gurgaon","Sector 65, Gurgaon"
1030,1,Builder Name,,M3M India Pvt. Ltd.,M3M
1030,1,Price Range,,11.40 Cr,Rs4.46 Cr - 8.70 Cr
1030,1,Price per Sq.Ft,,Rs 11000,"Rs13,950 Per Sq. Ft"
1030,1,BHK,,"3,4,5 BHK Flats","3, 4, 5 BHK"
1030,1,Property Type,,Flat,
1030,1,Project Status,,Ready To Move,Ready to Move
1030,1,Launch Date,,1-Mar-11,Ask for Details
1030,1,Possession Date,,1-Mar-17,30-Sep-18
1030,1,Total Units,,870.0,2250 units
1030,1,Project Size (Acres),,56 Acre,56 Acres
1030,1,Amenities Count,,9.0,
1030,1,USP,,"3 & 4 Bedroom spacious residences from 279 sq. mtrs. (3000 sq.ft.) onwards | Set amidst sprawling 56+ acres | Located in Sector-65 on the coveted Golf Course Road (Extn.) | A mix of high rise and mid-rise residential towers | Immaculately designed by ARCOP International, Canada | Apartments overlook the designer 09 hole executive golf course | Studded with 101 lifestyle amenities | Rs 4 Cr. onwards | Location Advantage:
Connectivity
Sector 55-56 Ra. 5 km | 20 min | Sector 54 Chowk. 6 km | 25 min | Infrastructure
St. Xavier's Hi.2 km | 15 min | Raheja Mall 6 km | 30 min | Artemis Hospita. 3 km | 15 min | DPS Internation. 2 km | 15 min | Sohna Road 4 km | 20 min | Neighborhood
Sector-64 2 km | 15 min | Sector-50 3 km | 15 min | Sector-38 4 km | 20 min",
1030,1,Builder Experience,,18+ years,12 Years Experience
1030,1,Total Towers,,25,
1030,1,Rera Number,,,660/2017/307
1030,1,Specifications,,"Walls: POP punning with acrylic emulsion paint
Floor: Imported marble
Ceiling: POP punning with acrylic emulsion paint
Main doors: 8 feet high flush shutters with polished wood veneer and solid wood, timber frame
Internal doors: 8 feet high flush shutters with polished wood veneer
Windows, glazing: UPVC, aluminium window frames with combination of double, single glazed panels
Other: Central air-conditioning
Walls: POP punning with acrylic emulsion paint
Floor: Imported marble, engineered, wooden flooring in master bedroom
Ceiling: POP punning with acrylic emulsion Paint
Doors: 8 feet high flush shutters with polished wood veneer
Windows, glazing: UPVC, aluminium window frames with combination of double, single glazed panels
Other: Central air-conditioning
Walls: POP punning with acrylic emulsion paint
Floor: Engineered, wooden flooring
Ceiling: POP punning with acrylic emulsion paint
Doors: 8 feet high flush shutters with polished wood veneer
Windows, glazing: UPVC, aluminium window frames with combination of double, single glazed panels
Other: Central air-conditioning
Walls: Premium tiles on the wall
Floor: Natural Stone
Ceiling: POP punning with acrylic emulsion paint
Doors: 8 feet high flush shutters with polished wood veneer
Windows, glazing: UPVC, aluminium window frames with combination of double, single glazed panels
Other: Designer modular kitchen, fully fitted with premium brand hob, chimney, dish washer, microwave oven, washer and dryer and refrigerator
Granite counter top, stainless steel sink imported CP fitting
Walls: Weather proof paint
Floor: Anti skid vitrified tile
Ceiling: Weather proof paint
Doors: 8 feet high flush shutters with polished wood veneer
Windows, glazing: UPVC, aluminium window frames with combination of double, single glazed panels
Premium modular switches and sockets, copper wiring
Power backup, water supply and fire fighting system: 100% power backup per apartment and treated water supply and all systems for fire safety as per norms
CCTV for basements, ground floor lobbies, lift cars, entry and exit.
Automatic boom barriers and manual gates at entry and exits
Intelligent access control system, panic alarm button is installed in master bedroom and a door phone near apartment entrance, connected to security control room, management office","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: Seismic Zone V Compliant"
1030,1,Amenities,,"Jogging and Strolling Track, Outdoor Tennis Courts, Swimming Pool, Security, Gymnasium, Library And Business Centre, Indoor Squash & Badminton Courts, Mini Cinema Theatre, CCTV Camera",
1239,1,Name,BPTP Parklands Pride,BPTP Parklands Pride,BPTP Parkland Pride
1239,1,Location,"Sector 77, Faridabad","Sector 77, Noida","Sector 77, Faridabad"
1239,1,Builder Name,BPTP LIMITED,BPTP Ltd.,BPTP
1239,1,Price Range,71.0 L - 1.22 Cr,Rs 1.55 Cr - Rs 1.85 Cr,Rs65.00 Lac - 1.06 Cr
1239,1,Price per Sq.Ft,,,
1239,1,BHK,"3, 4 BHK Apartments",,"3, 4 BHK"
1239,1,Property Type,,,
1239,1,Project Status,,,Ready to Move
1239,1,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",,Ask for Details
1239,1,Possession Date,0,,Ask for Details
1239,1,Total Units,,660.0,660 units
1239,1,Project Size (Acres),0,,102.86 Acres
1239,1,Amenities Count,,0.0,
1239,1,USP,"Why BPTP Parklands Pride? This high-end, ultra-luxe recreational club will feature a world-class spa and lounge, etc. A township within a township, Pride features previously unheard of concepts in Faridabad like cluster living. Over 2000 trees planted across the township. Each home will come equipped with either a lawn or terrace. View More Highlights",,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring."
1239,1,Builder Experience,,22+ years,16 Years Experience
1239,1,Total Towers,,,
1239,1,Rera Number,Not Found,,660/2017/307
1239,1,Specifications,,,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure
1239,1,Amenities,Waiting Lounge Cricket Pitch Changing Room Swimming Pool Fountains Vastu Compliant Table Tennis Mini Theatre Gymnasium Kid's Pool Fire Fighting System Car Parking 24X7 Water Supply Multipurpose Room Jogging Track Gated Community Indoor Games Pergola Lawn Tennis Court Club House Children's Play Area Partial Power Backup Yoga / Meditation Area Lift(s) Badminton Court 24x7 CCTV Surveillance Sun Deck Video Door Security Restaurant Multipurpose Hall Basketball Court Staff Quarter Paved Compound Banquet Hall Rain Water Harvesting Library 24x7 Security Power Backup Cafeteria Billiards / Snooker Table Less Source_URL: https://housing.com/in/buy/projects/page/44580-bptp-parklands-pride-by-bptp-limited-in-sector-77 Extraction_Date: 2025-04-02 01:35:08  Processing URL 926/5207: https://housing.com/in/buy/projects/page/1290-puri-emerald-bay-by-puri-constructions-pvt-ltd-in-sector-104,,
1239,1,Project Status,,Ready To Move,Ready to Move
1239,1,Launch Date,"Apr, 2011 Avg. Price: 6.76 K/sq.ft",01 March 2011,Ask for Details
1239,1,Possession Date,0,01 December 2015,Ask for Details
1239,2,Name,,,BPTP Parkland Pride Phase 2
1239,2,Location,,,"Sector 77, Faridabad"
1239,2,Builder Name,,,BPTP
1239,2,Price Range,,,Rs65.00 Lac
1239,2,Price per Sq.Ft,,,
1239,2,BHK,,,3 BHK
1239,2,Property Type,,,
1239,2,Project Status,,,Under Construction
1239,2,Launch Date,,,Ask for Details
1239,2,Possession Date,,,Ask for Details
1239,2,Total Units,,,152 units
1239,2,Project Size (Acres),,,19.96 Acres
1239,2,Amenities Count,,,
1239,2,USP,,,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views."
1239,2,Builder Experience,,,16 Years Experience
1239,2,Total Towers,,,
1239,2,Rera Number,,,660/2017/307
1239,2,Specifications,,,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure
1239,2,Amenities,,,
1350,1,Name,,Puri Diplomatic Greens,Puri Diplomatic Greens Villas
1350,1,Location,,"Sector 111, Gurgaon","Sector 111, Gurgaon"
1350,1,Builder Name,,Puri Construction Pvt. Ltd.,Puri
1350,1,Price Range,,,Rs9.60 Cr - 10.44 Cr
1350,1,Price per Sq.Ft,,,
1350,1,BHK,,,5 BHK
1350,1,Property Type,,,
1350,1,Project Status,,,Ready to Move
1350,1,Launch Date,,,Ask for Details
1350,1,Possession Date,,,Ask for Details
1350,1,Total Units,,450.0,10 units
1350,1,Project Size (Acres),,20 Acre,20 Acres
1350,1,Amenities Count,,44.0,
1350,1,USP,,"Excellent infrastructure in the sector and roads which connect Puri Diplomatic Greens to other parts of NCR make it a popular residential choice. | The Dwarka Expressway is 33 min | Huda City Centre Gurgaon 30 min | Gurgaon railway station 19 min | IGI airport 39 minutes away from the society making it easy for people residing here to commute anywhere with ease. | USP:
USP of Puri Diplomatic Greens is the proximity to several civic amenities including restaurants (The Serve Point, Leela’s Restaurant), banks (State Bank of India, Oriental Bank of Commerce), hospitals (Shri Balaji’s Multispeciality Hospital), schools (St. Paul’s School, Shree Shyam Public School), mall (Elan Miracle) within a radius of 5 km of the society","Strategically located on Old Delhi Gurgaon Road and Dwarka Expressway.,Exclusive 3BHK and 4BHK villas with modern amenities.,Power backup and gym facility for a comfortable lifestyle.,Luxurious interiors with oil bound distemper walls and vitrified flooring.,Dwell in a secure gated community with secured parking."
1350,1,Builder Experience,,75 Years,42 Years Experience
1350,1,Total Towers,,,
1350,1,Rera Number,,,660/2017/307
1350,1,Specifications,,"Floors: Imported marble
Walls: Pop punning with acrylic emulsion paint
Ceiling: Pop punning with acrylic emulsion paint
Doors: Hardwood door frames with solid wod paneled door with melamine polish finish
Window/glazing: UPVC windows
Others: Designed VRV air conditioning
Electrical: Copper electrical wiring in concealed conduits and MCB and fibre optics for telephone, internet and IP TV connection, premium modular switches
Floors: Imported marble
Walls: Pop punning with acrylic emulsion paint
Ceiling: Pop punning with acrylic emulsion paint
Doors: Seasoned hardwood frame with european style moulded shutter
Window/ glazing: UPVC windows
Others: Designed VRV air conditioning
Electrical: Copper electrical wiring in concealed conduits and MCB and fibre optics for telephone, internet and IP TV connection
Floors: Imported marble
Walls: Tiles and acrylic emulsion paint
Ceiling: Pop punning with acrylic emulsion paint
Doors: Seasoned hardwood frame with european style moulded shutter
Window/ glazing: UPVC windows
Others: Complete Modular kitchen with hob and chimney
Electrical: Copper electrical wiring in concealed conduits and MCB and fibre optics for telephone, internet and IP TV connection
Floors: Stone/ anti-skid tiles
Walls: Weather proof paint
Ceiling: Weather proof paint
Doors: UPVC windows
Window/ glazing: UPVC windows
Electrical: Copper electrical wiring in concealed conduits and MCB
Floors: Imported marble
Walls: Imported marble/ acrylic emulsion paint
Ceiling: False ceiling with acrylic emulsion paint
Doors: Seasoned hardwood frame with european style moulded shutter
Window/ glazing: UPVC windows
Others: Kohler/ equivalent quality Chinaware, CP fittings, marble counter
Electrical: Copper electrical wiring in concealed conduits and MCB and fibre optics for telephone
Floors: Imported marble
Walls: Ceramic tiles/ acrylic emulsion paint
Ceiling: False ceiling with acrylic emulsion paint
Doors: Seasoned Hardwood frame with European style moulded shutter
Window/ glazing: UPVC windows
Others: Kohler/ equivalent quality chinaware, CP fittings, marble counter
Electrical: Copper electrical wiring in concealed conduits and MCB
Floors: Tiles
Walls: OBD
Ceiling: OBD
Doors: Hardwood frames with painted flush door
Window/glazing: UPVC windows
Others: ISI quality tiles and fittings
Electrical: Copper electrical wiring in concealed conduits and MCB
Floors: Tiles
Walls: OBD
Ceiling: OBD
Doors: Hardwood frames with painted flush door
Window/ glazing: UPVC windows
Others: ISI quality tiles, chinaware and cp fittings
Electrical: Copper electrical wiring in concealed conduits and MCB","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Bathtub, Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure"
1350,1,Amenities,,"Club House, Coffee Lounge & Restaurants, Cafeteria/Food Court, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts, Cycling & Jogging Track, Private Terrace/Garden, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Gymnasium, Indoor Games Room, AEROBICS ROOM, DTH Television Facility, Flower Gardens, Library And Business Centre, RO Water System, Water Storage, Air Conditioned, Multipurpose Courts, Meditation Area, Vaastu Compliant, Internet/Wi-Fi Connectivity, Central AC, Waste Disposal, Conference Room, Earth quake resistant, Located in the Heart of city, 3 Tier Security System, Large Open space, Multipurpose Hall, CCTV Camera, Badminton court, Outdoor Tennis Courts, Event Space & Amphitheatre, Fire Fighting Equipment",
2718,1,Name,,DLF Regal Gardens,DLF Regal Gardens
2718,1,Location,,"Sector 90, Gurgaon","Sector 90, Gurgaon"
2718,1,Builder Name,,DLF Ltd.,DLF
2718,1,Price Range,,,Rs1.03 Cr - 1.58 Cr
2718,1,Price per Sq.Ft,,Rs 7340,
2718,1,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
2718,1,Property Type,,,
2718,1,Project Status,,,Ready to Move
2718,1,Launch Date,,,Ask for Details
2718,1,Possession Date,,,"Jan 01, 2017"
2718,1,Total Units,,587.0,562 units
2718,1,Project Size (Acres),,11 Acre,11 Acres
2718,1,Amenities Count,,0.0,
2718,1,USP,,"1.62 Hectares of Green Open Space | Elegant Landscaping by Landscape Architect Paul Friedberg | 16,000 sqft Sunken Clubhouse - Regal Club | Fire Fighting System with Sprinklers | 24/7 State-of-the-art Security | Location Advantage:
IMT Manesar - 6.2 Km | NPR - 6.2 Km | Sohna Road - 23.3 Km | MG Road Gurugram - 25 Km | Dwarka - 28.6 Km | IGI Airport - 31.7 Km | South Delhi - 35.9 Km | Air-conditioned residential unit | Dedicated children's play area surrounded by landscaped garden | Balconies in all master bedrooms for fresh air | Comprehensive amenities catering to resident needs | Air-conditioned residential unit | Dedicated children's play area surrounded by landscaped garden | Balconies in all master bedrooms for fresh air | Comprehensive amenities catering to resident needs","Spread area 11 acres,Easy access from all the well-connected roads,Configuration 2 BHK to 4BHK,All top-notch amenities delivered,Located in Sector 90, Gurgaon, to provide great connectivity to city centers,Developed by DLF Home Developer, with a reputation for quality construction and timely delivery,Fitted with amenities such as a gym, clubhouse, banquet hall, and indoor games room,Includes CCTV surveillance and firefighting facilities, providing safety to residents,Offers round-the-clock power supply, increasing the convenience of residents"
2718,1,Builder Experience,,75+ years,70 Years Experience
2718,1,Total Towers,,,
2718,1,Rera Number,,,660/2017/307
