XID,URL,Project Name,Phase,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
153,https://www.squareyards.com/faridabad-residential-property/klj-greens/443/project,KLJ Greens,Square Yards  Phase 1,"Sector 77, Faridabad",Rs38.37 Lac - 64.23 Lac,N/A,Ready to Move,"2, 3, 4 BHK",1279 Sq. Ft to 2141 Sq. Ft (Saleable),KLJ,1064 units,51 Acres,Ask for Details,Ask for Details,Sector 77,Neharpar Phase 2,"Gated community with easy access to Faridabad Bypass Road.,Strategically located near Tigaon Road and BPTP Bridge Road.,Luxurious apartments with sleek design and beautiful vistas.,High-tech gymnasium and reliable power backup.,Vitrified tiles flooring and Oil Bound Distemper paints used.",https://www.squareyards.com/klj-projects/144/builder,N/A,9,N/A,660/2017/307,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Party Hall; Clubhouse; Indoor Games
294215,https://www.squareyards.com/navi-mumbai-residential-property/arihant-aspire/10043/project,Arihant Aspire,Square Yards  Phase 1,"Palaspe Phata, Navi Mumbai",Rs56.00 Lac - 84.00 Lac,"Rs14,203 Per Sq. Ft",Under Construction,"1, 2 BHK",403 Sq. Ft to 732 Sq. Ft (Carpet),Arihant Superstructures Ltd,1799 units,16 Acres,Ask for Details,6-Jul-19,Palaspe Phata,Panvel,,https://www.squareyards.com/arihant-superstructures-ltd-projects/7838/builder,36 Years Experience,11,39,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Bathroom: Bathtub, Jacuzzi, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Skating Rink,Power Backup; Attached Market; Treated Water Supply; Medical Facility; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; Hypermarket; Senior Citizen Area
399000,https://www.squareyards.com/gurgaon-residential-property/ats-homekraft-bonheur-avenue/188776/project,ATS Homekraft Bonheur Avenue,Square Yards  Phase 1,"Sohna Sector 35, Gurgaon",Rs1.38 Cr - 2.75 Cr,N/A,Ready to Move,Ask for Details,900 Sq. Ft to 1798 Sq. Ft (Saleable),ATS,276 units,9 Acres,Ask for Details,Ask for Details,Sohna Sector 35,Sohna,"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56.",https://www.squareyards.com/ats-projects/19/builder,20 Years Experience,19,26,660/2017/307,N/A,Gymnasium; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track,24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Reading Room/Library; Amphitheater; Senior Citizen Area
400534,https://www.squareyards.com/faridabad-residential-property/amolik-aster-woods/217581/project,Amolik Aster Woods,Square Yards  Phase 1,"Sector 98, Faridabad",Rs63.45 Lac - 1.21 Cr,N/A,Ready to Move,Ask for Details,846 Sq. Ft to 1611 Sq. Ft (Saleable),Amolik Group,598 units,30 Acres,Ask for Details,Ask for Details,Sector 98,Neharpar Phase 1,,https://www.squareyards.com/amolik-group-projects/9720/builder,N/A,7,N/A,660/2017/307,N/A,Kids' Play Areas / Sand Pits; Yoga Areas,24*7 Water Supply,24 x 7 Security,Large Green Area,N/A
371039,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-greens-2/102513/project,Bhagwati Greens 2,Square Yards  Phase 1,"Kharghar, Navi Mumbai",Rs1.35 Cr - 2.80 Cr,"Rs14,098 Per Sq. Ft",Mid Stage,"2, 3 BHK",484 Sq. Ft to 763 Sq. Ft (Carpet),Bhagwati Group,186 units,2 Acres,Ask for Details,Ask for Details,Kharghar,CBD Belapur,,https://www.squareyards.com/bhagwati-group-projects/1038/builder,17 Years Experience,2,23,A51800000454,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Jogging / Cycle Track,Power Backup; High Speed Elevators; Lift,24 x 7 Security; Intercom Facility,Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
331815,https://www.squareyards.com/navi-mumbai-residential-property/akshar-one-akshar/13670/project,Akshar One Akshar,Square Yards  Phase 1,"Sanpada, Navi Mumbai",Rs9.00 Cr - 13.20 Cr,N/A,Under Construction,4 BHK,1196 Sq. Ft to 1785 Sq. Ft (Carpet),Akshar,68 units,1.21 Acres,Ask for Details,27-Jan-20,Sanpada,Vashi,"Furnished with Acrylic Emulsion walls for easy maintenance.,Well-connected to Sion Panvel Highway and Palm Beach Road North.,Enjoy power backup for continuous living comfort.,State-of-the-art gymnasium for a healthy lifestyle.,Easy access to recreational spaces and facilities.",https://www.squareyards.com/akshar-projects/550/builder,24 Years Experience,5,28,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Jacuzzi, Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa
375092,https://www.squareyards.com/thane-residential-property/provident-palmvista/103956/project,Provident Palmvista,Square Yards  Phase 1,"Daighar Gaon, Thane",Rs49.49 Lac - 1.12 Cr,"Rs9,652 Per Sq. Ft",Under Construction,"1, 2 BHK",395 Sq. Ft to 811 Sq. Ft (Carpet),Provident Housing Limited,992 units,16 Acres,Ask for Details,Ask for Details,Daighar Gaon,Dombivli,"Centrally located in Daighar Gaon, near NH 4 and KalyanShil Road,Explore exclusive 1, 2 BHK apartments with modern basics,Experience luxurious living with power backup and gym facilities,Magnificent oil-bound distemper finish in master bedroom walls,Elegant and spacious apartments starting from 395 Sq. Ft.,Register your property under Provident Palmvista RERA certified projects,Get detailed information on Provident Palmvista in our project knowledge PDF",https://www.squareyards.com/provident-housing-limited-projects/485/builder,10 Years Experience,6,28,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards; Skating Rink,Power Backup; Treated Water Supply; Day Care Center; Pet Area; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games
377897,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-elysia/143592/project,Bhagwati Elysia,Square Yards  Phase 1,"Ulwe, Navi Mumbai",Rs40.08 Lac - 96.79 Lac,"Rs6,806 Per Sq. Ft",Mid Stage,"1, 2, 3 BHK",371 Sq. Ft to 896 Sq. Ft (Carpet),Bhagwati Group,446 units,0.81 Acres,Ask for Details,Ask for Details,Ulwe,Panvel,"Strategically located near JNPT Road and Uran Panvel Road, Ulwe.,RERA approved residential project with two separate registrations.,Experience a healthy lifestyle with in-house gymnasium facility.,Enjoy seamless living with 24x7 power backup system.,Well-appointed master bedrooms with oil-bound distemper walls and vitrified tiles flooring.,Unwind in a thoughtfully designed residential space in Ulwe.",https://www.squareyards.com/bhagwati-group-projects/1038/builder,17 Years Experience,2,23,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
388006,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-suncity/167325/project,Paradise Sai Suncity,Square Yards  Phase 1,"Ghot, Navi Mumbai",Rs42.00 Lac - 75.00 Lac,"Rs8,627 Per Sq. Ft",Under Construction,"1, 2 BHK",350 Sq. Ft to 717 Sq. Ft (Carpet),Paradise,2148 units,27 Acres,Ask for Details,Ask for Details,Ghot,Panvel,"Introducing Paradise Sai Suncity, Ghot premier residential haven,Enjoy seamless connectivity via NH 4 and MIDC Road,Experience luxury living with world-class amenities like power backup,Choose from 1BHK and 2BHK options with varying sq. ft. areas,Savor the perfect blend of comfort and style with plastic emulsion walls,Invest in a future-proof project with approved RERA certification",https://www.squareyards.com/paradise-projects/366/builder,29 Years Experience,4,38,A51800000454,"Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Solar Lighting; Large Green Area,Dance Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; Hypermarket; Senior Citizen Area
405789,https://www.squareyards.com/navi-mumbai-residential-property/pacific-one-pyramid/220426/project,Pacific One Pyramid,Square Yards  Phase 1,"Sector 8 Airoli, Navi Mumbai",Rs1.59 Cr - 2.93 Cr,N/A,Under Construction,"2, 3 BHK",684 Sq. Ft to 1260 Sq. Ft (Carpet),Pacific Properties,68 units,0.44 Acres,Ask for Details,Ask for Details,Sector 8 Airoli,Airoli,,https://www.squareyards.com/pacific-properties-projects/7271/builder,N/A,1,1,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; High Speed Elevators; Podium Parking; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Indoor Games; Jacuzzi
405663,https://www.squareyards.com/navi-mumbai-residential-property/satyam-altura/210302/project,Satyam Altura,Square Yards  Phase 1,"Sanpada Sector 7, Navi Mumbai",Rs2.38 Cr - 4.39 Cr,N/A,Under Construction,"2, 3 BHK",704 Sq. Ft to 1297 Sq. Ft (Carpet),Satyam Builders,74 units,0.49 Acres,Ask for Details,Ask for Details,Sanpada Sector 7,Vashi,"Strategically located near Sion Panvel Highway and Palm Beach Marg for easy connectivity,Approved by MahaRERA with registration number P51700047665,Enjoy luxurious amenities like kids play areas and sand pits,Reliable power backup for uninterrupted living,Well-furnished master bedroom with oil-bound distemper walls and vitrified tiles flooring,Situated in Sanpada Sector 7 for a peaceful and serene living experience",https://www.squareyards.com/satyam-builders-projects/2294/builder,N/A,2,10,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Indoor Games
401902,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-elysia/143592/project,Bhagwati Elysia,Square Yards  Phase 1,"Ulwe, Navi Mumbai",Rs40.08 Lac - 96.79 Lac,"Rs6,806 Per Sq. Ft",Mid Stage,"1, 2, 3 BHK",371 Sq. Ft to 896 Sq. Ft (Carpet),Bhagwati Group,446 units,0.81 Acres,Ask for Details,Ask for Details,Ulwe,Panvel,"Strategically located near JNPT Road and Uran Panvel Road, Ulwe.,RERA approved residential project with two separate registrations.,Experience a healthy lifestyle with in-house gymnasium facility.,Enjoy seamless living with 24x7 power backup system.,Well-appointed master bedrooms with oil-bound distemper walls and vitrified tiles flooring.,Unwind in a thoughtfully designed residential space in Ulwe.",https://www.squareyards.com/bhagwati-group-projects/1038/builder,17 Years Experience,2,23,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
374312,https://www.squareyards.com/noida-residential-property/godrej-woods/30231/project,Godrej Woods,Square Yards  Phase 1,"Sector 43, Noida",Rs2.29 Cr - 3.67 Cr,N/A,Ready to Move,"2, 3 BHK",777 Sq. Ft to 1249 Sq. Ft (Carpet),Godrej,1235 units,11 Acres,Ask for Details,15-Jan-20,Sector 43,Noida Central,"Surrounded by 600+ trees, providing a calm and green living experience,Located in Sector 43, Noida, with convenient connectivity to Noida-Greater Noida Expressway and close proximity to Delhi,Provides 2, 3, 4, and 5 BHK apartments ranging from 777 sq. ft. to 3,763 sq. ft.,Close proximity to quality schools, hospitals, and recreational areas,Strategically connected to major roadways and public transport, allowing easy accessibility",https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,61,150,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Skating Rink,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Sauna; Party Hall; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
330597,https://www.squareyards.com/gurgaon-residential-property/signature-global-park/10718/project,Signature Global Park,Square Yards  Phase 1,"Sohna Sector 36, Gurgaon",Rs93.13 Lac - 1.51 Cr,"Rs12,500 Per Sq. Ft",Partially Ready To Move,"2, 3 BHK",745 Sq. Ft to 1210 Sq. Ft (Saleable),Signature Global,1836 units,25 Acres,Ask for Details,3-Aug-19,Sohna Sector 36,Sohna,"Ultra Modern amenities,Lucrative residential units,Fusion of class and security,Modern architecture intelligence,2 and 3 BHK independent floors for living in the modern way,Designed by Padma Bhushan Architect Hafeez Contractor,Stretches across 25 acres with 1,836 flats,Offers a clubhouse, swimming pool, badminton court, and children's play area for an all-round lifestyle,Situated in Sector 36, Sohna, Gurugram, with proximity to the Delhi-Jaipur highway",https://www.squareyards.com/signature-global-projects/3175/builder,19 Years Experience,10,43,660/2017/307,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games
743,https://www.squareyards.com/noida-residential-property/logix-blossom-county/542/project,Logix Blossom County,Square Yards  Phase 1,"Sector 137, Noida",Rs1.07 Cr - 1.98 Cr,"Rs10,586 Per Sq. Ft",Ready to Move,"2, 3, 4 BHK",990 Sq. Ft to 1875 Sq. Ft (Saleable),Logix,1600 units,25 Acres,Ask for Details,30-Jun-18,Sector 137,Noida Expressway,,https://www.squareyards.com/logix-projects/163/builder,22 Years Experience,1,13,UPRERAAGT10119,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Chimney, Refrigrator, Microwave; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Medical Facility; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games
378131,https://www.squareyards.com/gurgaon-residential-property/m3m-soulitude/106807/project,M3M Soulitude,Square Yards  Phase 1,"Sector 89, Gurgaon",Rs1.51 Cr - 2.11 Cr,"Rs12,999 Per Sq. Ft",Under Construction,"2, 3 BHK",1158 Sq. Ft to 1620 Sq. Ft (Saleable),M3M,1494 units,52.27 Acres,Ask for Details,Ask for Details,Sector 89,New Gurgaon,,https://www.squareyards.com/m3m-projects/67/builder,12 Years Experience,11,43,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Solar Lighting; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Party Hall; Clubhouse; Indoor Games; Spa; Outdoor Cafes
405502,https://www.squareyards.com/ghaziabad-residential-property/vvip-namah/231025/project,VVIP Namah,Square Yards  Phase 1,"Mahurali, Ghaziabad",Rs1.47 Cr - 2.95 Cr,N/A,Under Construction,"3, 4 BHK",1635 Sq. Ft to 3105 Sq. Ft (Saleable),VVIP,463 units,2.15 Acres,Ask for Details,Ask for Details,Mahurali,Ghaziabad City,"Tranquil living amidst nature charm in Mahurali, Ghaziabad,Strategically located on NH 24DelhiLucknow and Hapur Road Old NH 24,Experience luxurious 3, 4 BHK apartments with acrylic emulsion walls,Avail power backup and prioritize your work-life balance,Stay fit and healthy with a fully-equipped gymnasium at your disposal,Discover your dream home with RERA-approved project (UPRERAPRJ576907)",https://www.squareyards.com/vvip-projects/241/builder,N/A,2,9,UPRERAAGT10119,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Cafe / Coffee Bar; Party Hall; Clubhouse; Indoor Games
414339,https://www.squareyards.com/noida-residential-property/experion-elements/246908/project,Experion Elements,Square Yards  Phase 1,"Sector 45, Noida",Rs5.60 Cr - 6.40 Cr,"Rs19,999 Per Sq. Ft",New Launch,"3, 4 BHK",2800 Sq. Ft to 3200 Sq. Ft (Saleable),Experion,320 units,5 Acres,Ask for Details,Ask for Details,Sector 45,Noida Central,"Experience the best of Noida at Experion Elements, Sector 45,Unbeatable connectivity to Noida-Greater Noida Expressway, Dadri Road, & Golf Marg,Discover a haven of luxury with premium amenities like power backup & gym facility,Enhance your living experience with modern finishes & acoustic emulsion walls,Choose from spacious 3 & 4 BHK apartments with 2800 & 3200 Sq. Ft. areas,Live amidst lush greens with a serene environment in Sector 45, Noida,Select your dream home with meticulous attention to detail and quality construction",https://www.squareyards.com/experion-projects/45/builder,13 Years Experience,3,7,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Geyser, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Rappelling/Rock Climbing,Power Backup; Restaurant; Treated Water Supply; High Speed Elevators; Day Care Center; Pet Area; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Large Green Area; IGBC Certified Building,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Spa; Multiplex
376075,https://www.squareyards.com/ghaziabad-residential-property/uchdpl-veridia-oakwood-enclave/105685/project,Uchdpl Veridia Oakwood Enclave,Square Yards  Phase 1,"Wave City, Ghaziabad",Rs2.58 Cr - 4.42 Cr,N/A,Under Construction,"4, 5 BHK",2385 Sq. Ft to 4089 Sq. Ft (Saleable),Uppal,900 units,6.38 Acres,Ask for Details,Ask for Details,Wave City,Ghaziabad City,"Strategically located near NH 24DelhiLucknow and Meerut Bypass Road.,RERA approved project UPRERAPRJ494396 for seamless ownership.,Luxury apartments with avant-garde amenities and sports facilities.,Power backup and convenience features ensure modern living.,Spacious apartments with premium interior specifications.",https://www.squareyards.com/uppal-projects/122/builder,40 Years Experience,2,5,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Restaurant; Home Automation; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi
