XID,URL,Project Name,Phase,Builder Name,Location,Price Range,Price per Sqft,Configurations,Completion Date,Unit Size Range,Project Size,Launch Date,RERA Number,Total Number of Units,USP,BHK,Amenity Count,Amenities,Specifications,Photo Count,Video Count,Rating count,Price Trend,Builder URL,Builder Experience,Total Projects,Ongoing Projects,Past Projects,Builder Info
373839,https://www.squareyards.com/greater-noida-residential-property/civitech-strings/103214/project,Civitech Strings,Single phase,Civitech,"Sector 12 Greater Noida, Greater Noida",Rs1.14 Cr - 1.34 Cr,"Rs10,500 Per Sq. Ft","2, 3 BHK Flats",Ask for Details,1090 Sq. Ft to 1275 Sq. Ft (Saleable),4.45 Acres,Ask for Details,UPRERAAGT10119,844 units,"Strategically located near Greater Noida West Link Road for easy commutes.,RERA registered project UPRERAPRJ646272 ensures transparency.,Power backup facility for uninterrupted living and relaxation.,Spacious rooms with vitrified tiles flooring for a comfortable living.,Fitness enthusiasts can indulge in gymnasium just a step away.","2, 3 BHK",34,Power Backup; Home Automation; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Emergency Rescue / Alarms; Reading Room/Library; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Multi Brand Retail; Senior Citizen Area; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,17,0,1 Rating,"₹ 10,435
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/civitech-projects/177/builder,24 Years Experience,7,2,5,"Civitech was founded in 1995 and is one of NCR’s most well known developers with a solid track record of reliability. It is known for its emphasis on stringent quality, trust, transparency and ethical business dealings. Robust engineering expertise allows it to identify and address the multifarious housing needs in the region. Founder & Managing Director Subodh Goel spearheads operations with emphasis on its motto A home is not just an enclosure built of bricks and concrete, rather it’s a place that echoes the persona of people living in it. The portfolio of Civitech projects encompasses multiple residential and commercial properties across Noida and other NCR cities like Ghaziabad. Impeccable planning is a forte along with total customer satisfaction. There is a skilled team of professionals ensuring timely project delivery without any hitches. Value for money propositions are sought to be offered to clients along with well connected locations. Major offerings include Stadia, Florencia, etc."
7894,https://www.squareyards.com/greater-noida-residential-property/capital-athena/1041/project,Capital Athena,Single phase,Capital Infratechomes,"Sector 1 Greater Noida, Greater Noida",Rs82.25 Lac - 1.96 Cr,"Rs7,552 Per Sq. Ft","2, 3, 4 BHK Flats","Jul 10, 2020",1060 Sq. Ft to 2600 Sq. Ft (Saleable),8.5 Acres,Ask for Details,UPRERAAGT10119,1150 units,"Gated Community,Vastu Compliant Layout,Premium Amenities and Built,High Connectivity and Security","2, 3, 4 BHK",28,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Party Hall; Clubhouse; Indoor Games; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Intercom Facility; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Gazebo; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,25,0,6 Ratings,"₹ 9,808
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/capital-infratechomes-projects/2210/builder,9 Years Experience,1,1,N/A,N/A
395716,https://www.squareyards.com/greater-noida-residential-property/fusion-the-brook/162900/project,Fusion The Brook,Single phase,Fusion,"Sector 12 Greater Noida, Greater Noida",Rs1.06 Cr - 1.90 Cr,"Rs9,500 Per Sq. Ft","2, 3, 4 BHK Flats",Ask for Details,1115 Sq. Ft to 2000 Sq. Ft (Saleable),5 Acres,Ask for Details,UPRERAAGT10119,813 units,"Luxurious Apartments,Landscaped Gardens,Club House,World-Class Amenities","2, 3, 4 BHK",33,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Gazebo; Power Backup; Guest House; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Luxurious Clubhouse; Jacuzzi; Rain Water Harvesting; Normal Park / Central Green; Eco Friendly,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,14,0,1 Rating,"₹ 9,767
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/fusion-projects/15681/builder,N/A,2,2,N/A,N/A
402728,https://www.squareyards.com/greater-noida-residential-property/sublime-spring-elmas/217291/project,Sublime Spring Elmas,Single phase,Sublime Realtech,"Sector 12 Greater Noida, Greater Noida",Rs1.49 Cr - 2.69 Cr,"Rs11,000 Per Sq. Ft","3, 4 BHK Flats",Ask for Details,1355 Sq. Ft to 2450 Sq. Ft (Saleable),5 Acres,Ask for Details,UPRERAAGT10119,626 units,"Cater to the diverse needs,Lush green landscapes,State-of-the-art security systems,Access to roads and highways","3, 4 BHK",26,Power Backup; Restaurant; 24*7 Water Supply; Lift; Party Lawn; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Normal Park / Central Green; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Structure: RCC Frame Structure,13,0,N/A,"₹ 10,683
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/sublime-realtech-projects/17428/builder,N/A,1,1,N/A,N/A
430219,https://www.squareyards.com/greater-noida-residential-property/eros-sampoornam-iii/20711/project,Eros Sampoornam III,Single phase,Eros,"Sector 2 Greater Noida, Greater Noida",Rs72.64 Lac - 1.57 Cr,"Rs8,700 Per Sq. Ft","2, 3 BHK Flats",Ask for Details,835 Sq. Ft to 1800 Sq. Ft (Saleable),5.37 Acres,Ask for Details,UPRERAAGT10119,726 units,"Strategically located near NH 24, Bisrakh Road, and Greater Noida West Link Road.,State-of-the-art amenities for a luxurious lifestyle.,Well-appointed apartments with Vitrified Tiles flooring and plastic emulsion walls.,Power backup and gymnasium for added convenience.,Prime location in Noida Ext Sector 2, promising great returns.","2, 3 BHK",28,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Party Hall; Clubhouse; Amphitheater; Indoor Games; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure,14,0,N/A,"₹ 8,466
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/eros-projects/44/builder,79 Years Experience,24,1,27,"Eros Group was established in 1940 with its headquarters at New Delhi. With substantial industry experience, it has delivered some of India’s most pioneering realty & town planning ventures over the years. The portfolio of Eros projects covers residential, commercial, technology and hospitality sectors. It has projects that are cumulatively worth $1.13 billion lined up for the future while landmark townships such as Garden, Lakewood City, Charmwood Village, Rosewood City et al have brought it immense acclaim coupled with theatres such as Vishal Cineplex and Eros One. It has also built business centres including a Corporate Park at IMT-Manesar, International Trade Tower, City Square, American Plaza in addition to shopping malls like Eros Metro Mall, Market Place, EF3 Mall, etc. It has also developed its own hotel at Nehru Place in addition to Shangri-La’s across multiple areas. There is a proposed Hotel Radisson Blu in the works. From schools to residential group housing, the Group holds gargantuan expertise in almost every industry category."
336331,https://www.squareyards.com/greater-noida-residential-property/ats-destinaire/10912/project,ATS Destinaire,Single phase,ATS,"Sector 1 Greater Noida, Greater Noida",Rs2.47 Cr - 3.31 Cr,"Rs13,000 Per Sq. Ft","3, 4 BHK Flats","Sep 13, 2019",1900 Sq. Ft to 2550 Sq. Ft (Saleable),8.25 Acres,Ask for Details,UPRERAAGT10119,736 units,,"3, 4 BHK",25,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Party Hall; Clubhouse; Amphitheater; Indoor Games; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Large Green Area,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",15,0,N/A,"₹ 11,478
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/ats-projects/19/builder,20 Years Experience,48,19,26,The ATS Group is a reputed real estate conglomerate in the country and is held symbolic with customer centric housing and quality. The Group is known for its emphasis on supreme craftsmanship and innovative project designs. The Group was founded 16 years ago and has delivered multiple world class projects till date.
270729,https://www.squareyards.com/greater-noida-residential-property/ats-rhapsody/8676/project,ATS Rhapsody,Single phase,ATS,"Sector 1 Greater Noida, Greater Noida",Rs1.46 Cr - 1.99 Cr,"Rs8,100 Per Sq. Ft",3 BHK Flats,"Oct 01, 2024",1800 Sq. Ft to 2400 Sq. Ft (Saleable),6 Acres,Ask for Details,UPRERAAGT10119,562 units,,3 BHK,23,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Emergency Rescue / Alarms; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards; Clubhouse; Indoor Games; Power Backup; AC Waiting Lobby; Treated Water Supply; 24*7 Water Supply; Lift; Large Green Area,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",13,0,N/A,"₹ 11,006
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/ats-projects/19/builder,20 Years Experience,48,19,26,The ATS Group is a reputed real estate conglomerate in the country and is held symbolic with customer centric housing and quality. The Group is known for its emphasis on supreme craftsmanship and innovative project designs. The Group was founded 16 years ago and has delivered multiple world class projects till date.
269397,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves/8650/project,ATS Picturesque Reprieves,Single phase,ATS,"Sector 152, Noida",Rs2.96 Cr - 5.12 Cr,"Rs16,000 Per Sq. Ft","3, 4 BHK Flats","Oct 25, 2024",1850 Sq. Ft to 3200 Sq. Ft (Saleable),26.4 Acres,Ask for Details,UPRERAAGT10119,932 units,"Spacious and well-designed flats,Superior Amenities & Facilities,Close Proximity with the Important Destinations,Nestled in Sector 152,Noida","3, 4 BHK",30,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Emergency Rescue / Alarms; Party Hall; Clubhouse; Indoor Games; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; Power Backup; 24*7 Water Supply; Lift,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",10,0,N/A,"₹ 11,598
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/ats-projects/19/builder,20 Years Experience,48,19,26,The ATS Group is a reputed real estate conglomerate in the country and is held symbolic with customer centric housing and quality. The Group is known for its emphasis on supreme craftsmanship and innovative project designs. The Group was founded 16 years ago and has delivered multiple world class projects till date.
379918,https://www.squareyards.com/greater-noida-residential-property/nimbus-express-park-view-ii/1187/project,Nimbus Express Park View - II,Single phase,Nimbus,"GN Sector Chi V, Greater Noida",Rs89.00 Lac - 1.83 Cr,"Rs8,371 Per Sq. Ft","2, 3, 4 BHK Flats","Dec 30, 2016",1057 Sq. Ft to 2191 Sq. Ft (Saleable),10 Acres,Ask for Details,UPRERAAGT10119,1320 units,"Offers World-Class services and amenities,Strategically Located Society,Boasts Spacious and Well-Ventilated Apartment,Connected to Noida-Greater Noida Expressway","2, 3, 4 BHK",33,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Emergency Rescue / Alarms; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",20,0,3 Ratings,"₹ 7,197
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/nimbus-projects/180/builder,9 Years Experience,8,4,N/A,"Nimbus Group is one of India’s leading business conglomerates with interests in real estate, broking & advisory, insurance, hospitality, stock broking, commodity trading, insurance broking and many more verticals. It has always been known for its decentralized, flexible approach which also holds true for its realty division. Chairman & Managing Director Bipin Agarwal spearheads operations along with a team of skilled professionals across every department. It is listed on the stock exchange with a present net worth of $125 million. Directors Lalit Agarwal & Mukesh Gupta also take care of day to day business activities. The portfolio of Nimbus projects covers several residential, hospitality and commercial ventures. There are several options available for buyers including affordable luxury apartments, high & low rise apartments, plotted developments, group housing properties, resorts, hotels, etc. across several parts of Delhi-NCR with special emphasis on Noida, Greater Noida and Yamuna Expressway. Major landmarks include The Hyde Park, Park View, Golden Palm, etc."
426159,https://www.squareyards.com/greater-noida-residential-property/nimbus-the-palm-village/247100/project,Nimbus The Palm Village,Single phase,Nimbus,"Sector 22A Yamuna Expressway, Greater Noida",Rs55.00 Lac - 1.69 Cr,N/A,"1, 3 BHK Flats",Ask for Details,525 Sq. Ft to 2175 Sq. Ft (Saleable),12 Acres,Ask for Details,UPRERAAGT10119,1172 units,,"1, 3 BHK",28,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Gazebo; Rain Water Harvesting; Eco Friendly; Large Green Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Spa,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Structure: RCC Frame Structure,19,0,N/A,"₹ 8,457
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/nimbus-projects/180/builder,9 Years Experience,8,4,N/A,"Nimbus Group is one of India’s leading business conglomerates with interests in real estate, broking & advisory, insurance, hospitality, stock broking, commodity trading, insurance broking and many more verticals. It has always been known for its decentralized, flexible approach which also holds true for its realty division. Chairman & Managing Director Bipin Agarwal spearheads operations along with a team of skilled professionals across every department. It is listed on the stock exchange with a present net worth of $125 million. Directors Lalit Agarwal & Mukesh Gupta also take care of day to day business activities. The portfolio of Nimbus projects covers several residential, hospitality and commercial ventures. There are several options available for buyers including affordable luxury apartments, high & low rise apartments, plotted developments, group housing properties, resorts, hotels, etc. across several parts of Delhi-NCR with special emphasis on Noida, Greater Noida and Yamuna Expressway. Major landmarks include The Hyde Park, Park View, Golden Palm, etc."
414339,https://www.squareyards.com/noida-residential-property/experion-elements/246908/project,Experion Elements,Single phase,Experion,"Sector 45, Noida",Rs5.60 Cr - 6.40 Cr,"Rs19,999 Per Sq. Ft","3, 4 BHK Flats",Ask for Details,2800 Sq. Ft to 3200 Sq. Ft (Saleable),5 Acres,Ask for Details,UPRERAAGT10119,320 units,"Experience the best of Noida at Experion Elements, Sector 45,Unbeatable connectivity to Noida-Greater Noida Expressway, Dadri Road, & Golf Marg,Discover a haven of luxury with premium amenities like power backup & gym facility,Enhance your living experience with modern finishes & acoustic emulsion walls,Choose from spacious 3 & 4 BHK apartments with 2800 & 3200 Sq. Ft. areas,Live amidst lush greens with a serene environment in Sector 45, Noida,Select your dream home with meticulous attention to detail and quality construction","3, 4 BHK",32,24 x 7 Security; CCTV / Video Surveillance; Gymnasium; Swimming Pool; Badminton Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Rappelling/Rock Climbing; Large Green Area; IGBC Certified Building; Power Backup; Restaurant; Treated Water Supply; High Speed Elevators; Day Care Center; Pet Area; 24*7 Water Supply; Party Lawn; Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Spa; Multiplex,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Geyser, Exhaust Fan; Structure: RCC Frame Structure",18,2,N/A,"₹ 12,228
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/experion-projects/45/builder,13 Years Experience,9,3,7,"Experion Developers is a 100% FDI-funded Real Estate Developer. Experion Developers Private Limited is a private company that was incorporated on July 27, 2006. It is armed by Experion Holdings Private Limited Singapore, which is a $2.5 billion AT Holdings group of companies. AT Holdings' other ventures are Asset Management, construction, ONGC, and renewable energy."
403945,https://www.squareyards.com/greater-noida-residential-property/irish-platinum/245846/project,Irish Platinum,Single phase,Irish Infrastructure Pvt Ltd,"Sector 10 Greater Noida, Greater Noida",Rs1.66 Cr - 3.04 Cr,"Rs11,925 Per Sq. Ft","3, 4 BHK Flats",Ask for Details,1390 Sq. Ft to 2550 Sq. Ft (Saleable),5 Acres,Ask for Details,UPRERAAGT10119,566 units,,"3, 4 BHK",27,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards; Skating Rink; Party Hall; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area; Large Green Area,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,13,0,N/A,"₹ 10,099
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/irish-infrastructure-pvt-ltd-projects/9575/builder,N/A,2,1,N/A,N/A
7662,https://www.squareyards.com/greater-noida-residential-property/paramount-golfforeste-villas/9152/project,Paramount Golfforeste Villas,Single phase,Paramount,"GN Sector Zeta I, Greater Noida",Rs75.00 Lac - 2.00 Cr,N/A,"3, 4 BHK Villa","Apr 30, 2015",1650 Sq. Ft to 3008 Sq. Ft (Saleable),90 Acres,Ask for Details,UPRERAAGT10119,1988 units,"On-site Golf Course,Artificial Lake,Wave-effect Swimming Pool,Surbana Jurong Landscape Design (Singapore)","3, 4 BHK",31,Power Backup; Restaurant; Treated Water Supply; 24*7 Water Supply; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Course; Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Jacuzzi; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,23,0,1 Rating,,https://www.squareyards.com/paramount-projects/192/builder,23 Years Experience,22,15,N/A,"Paramount Group was founded 21 years earlier by Mukesh Aggarwal with a view towards offering premium spaces to buyers in Delhi-NCR. The portfolio of Paramount projects covers both residential and commercial properties across multiple categories. Unmatched quality is a key USP along with awe inspiring designs. Customer satisfaction is also given huge priority coupled with architectural excellence. World renowned architects collaborate with the Group for most projects while seamless management keep things nicely on track at all times. Costs are also kept low while homes are delivered on time to all clients. All projects are emblematic of style, comfort, class and aesthetics. High quality materials are used in tandem with latest construction techniques. Superior infrastructure is also offered to residents at projects. Reasonable pricing is another huge attribute that buyers have come to depend on! Major offerings include Symphony, Golfforeste, Floraville, Mapple at areas like Greater Noida, Crossing Republic, Expressway Zone II, etc."
10412,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city/1183/project,Purvanchal Royal City,Single phase,Purvanchal,"GN Sector Chi V, Greater Noida",Rs1.70 Cr - 5.05 Cr,N/A,"3, 4, 5 BHK Flats","Dec 15, 2019",1725 Sq. Ft to 5130 Sq. Ft (Saleable),22 Acres,Ask for Details,UPRERAAGT10119,2686 units,"Multiple spacious apartments,Attached Market for daily essentials and shopping,Built in Wardrobes for every apartment,Concierge Services","3, 4, 5 BHK",34,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Power Backup; Treated Water Supply; Pre-School; Day Care Center; Concierge Desk; 24*7 Water Supply; Lift; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Dance Room; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,24,0,7 Ratings,"₹ 10,101
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/purvanchal-projects/182/builder,25 Years Experience,25,2,17,"Purvanchal Group is a prominent player in the Indian realty market which started its journey in 1994. The company has carved a niche for itself in the NCR and Delhi real estate markets and possesses considerable expertise in constructing residential complexes and homes that are representative of contemporary architecture and design excellence. The group is a recipient of the ISO 9001:2008 certification, and is spearheaded by its CMD, Mr. Shah Alam. The Group also has its own team of skilled and qualified professionals who specialize in various fields, including civil engineering, mechanical engineering, finance, architecture, electrical engineering and administration. The list of clients served by the group is impressive and includes the Prime Minister’s Office, TATA, NTPC, Dabur, IFFCO-TOKIO, RBI, HSBC, Dabur Research Foundation, CSC, NIIT and ICICI Home Finance among numerous others. Any property by Purvanchal reflects the company’s vision and commitment towards quality and aesthetic appeal."
302889,https://www.squareyards.com/greater-noida-residential-property/ats-happy-trails/10038/project,ATS Happy Trails,Single phase,ATS,"Sector 10 Greater Noida, Greater Noida",Rs1.39 Cr - 1.93 Cr,"Rs11,900 Per Sq. Ft","2, 3 BHK Flats","Apr 30, 2025",1165 Sq. Ft to 1625 Sq. Ft (Saleable),8.59 Acres,Ask for Details,UPRERAAGT10119,1239 units,"Spacious and well-designed flats,Superior Amenities & Facilities,Close Proximity with the Important Destinations,Nestled in Sector 10,Gr. Noida","2, 3 BHK",30,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Emergency Rescue / Alarms; Party Hall; Cards Room; Clubhouse; Indoor Games; Hypermarket; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",18,0,1 Rating,"₹ 12,197
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/ats-projects/19/builder,20 Years Experience,48,19,26,The ATS Group is a reputed real estate conglomerate in the country and is held symbolic with customer centric housing and quality. The Group is known for its emphasis on supreme craftsmanship and innovative project designs. The Group was founded 16 years ago and has delivered multiple world class projects till date.
