Registration Number,Block No,Floor Number,Flat/ Apartment/ Shop/Plot type,Number of Apartment/Flats/Shop,Unit Carpet Area (in sqm),Number of Balcony,Total Area of Balcony (in sqm),Number of Verandah,Total Area of Verandah (in sqm),No. of garrage,Total Area of garage (in sqm),Open Parking Space (in Nos.)
UPRERAPRJ335841,Block E,GF,SHOP,1,132.39,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,GF,SHOP,4,74.32,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,GF,SHOP,1,71.53,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,GF,SHOP,1,90.58,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,GF,SHOP,1,36.84,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,GF,SHOP,1,28.51,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,GF,SHOP,1,72.74,0,0,0,0,undefined,0,0
UPRERAPRJ335841,Block E,1,SHOP,1,98.48,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,101.73,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,7,72.32,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,1,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,98.48,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,101.73,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,7,74.32,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,2,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,98.48,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,101.73,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,7,74.32,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,4,SHOP,1,414.81,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,4,SHOP,1,411.09,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,4,SHOP,1,354.89,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,85.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,85.01,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,85.01,0,0,0,0,undefined,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",BSMNT2,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",GF,3 BHK,8,171.87,0,0,5,28.80,0,0,0
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",GF,3 BHK,8,171.87,0,0,5,27.03,0,0,0
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",1,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",1,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",2,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",2,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",3,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",3,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",4,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",4,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",5,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",5,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",6,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",6,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",7,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",7,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",8,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",8,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",9,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",9,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",10,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",10,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",11,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",11,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",12,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",12,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",13,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",14,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",14,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",15,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",15,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",16,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",16,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",17,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",17,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",18,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",18,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",19,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",19,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",20,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",20,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",21,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",21,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",22,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",22,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",23,3 BHK,8,124.95,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",23,3 BHK,16,95.41,4,14.21,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",24,3 BHK,8,95.41,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",24,3 BHK,8,101.91,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",25,3 BHK,8,95.41,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",25,3 BHK,8,101.91,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",26,3 BHK,8,95.41,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-11,12,14,15,16,17,18 & 19",26,3 BHK,8,101.91,4,15.79,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",BSMNT2,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",GF,4 BHK,6,201.23,0,0,5,35.67,0,0,0
UPRERAPRJ3250,"TOWER-6,7 & 8",1,4 BHK,6,201.23,5,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",2,4 BHK,6,201.23,5,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",3,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",4,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",5,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",6,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",7,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",8,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",9,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",10,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",11,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",12,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",13,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",14,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",15,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",16,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",17,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",18,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",19,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",20,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",21,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",22,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",23,4 BHK,6,201.23,6,35.67,0,0,0,0,-
UPRERAPRJ3250,"TOWER-6,7 & 8",24,PENTHOUSE,6,270.35,5,58.71,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",BSMNT2,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",GF,3 BHK,4,138.61,0,0,5,23.23,0,0,0
UPRERAPRJ3250,"TOWER-9, 10",1,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",2,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",3,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",4,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",5,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",6,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",7,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",8,3 BHK,4,138.61,5,23.23,0,0,0,0,-
UPRERAPRJ3250,"TOWER-9, 10",9,3 BHK,4,138.61,5,23.23,0,0,0,0,-
