XID,Unit Type,Unit Size,Area Type,Price,Possession Date
r420162,3 BHK,1161 sq.ft,Super Area,45.3 Lac,Possession by Oct'28
r420162,3 BHK,1184 sq.ft,Super Area,46.2 Lac,Possession by Oct'28
r420162,3 BHK,1190 sq.ft,Super Area,46.4 Lac,Possession by Oct'28
r420162,3 BHK,1422 sq.ft,Super Area,55.5 Lac,Possession by Oct'28
r420162,3 BHK,1471 sq.ft,Super Area,57.4 Lac,Possession by Oct'28
r420162,3 BHK,1473 sq.ft,Super Area,57.4 Lac,Possession by Oct'28
r420162,3 BHK,1568 sq.ft,Super Area,61.2 Lac,Possession by Oct'28
r413382,3 BHK,1455 sq.ft,Super Area,1.11 Cr,Possession by May'25
r413382,2 BHK,1045 sq.ft,Super Area,80.4 Lac,Possession by May'25
r413382,2 BHK,1055 sq.ft,Super Area,81.2 Lac,Possession by May'25
r413382,2 BHK,1235 sq.ft,Super Area,95 Lac,Possession by May'25
r300077,3 BHK,1283 sq.ft,Super Area,81.9 Lac,Possession by Dec'28
r300077,3 BHK,1333 sq.ft,Super Area,85.1 Lac,Possession by Dec'28
r429474,Residential plot,996 sq.ft,Super Area,79.7 Lac,Possession by Oct'24
r429474,Residential plot,1026 sq.ft,Super Area,82.1 Lac,Possession by Oct'24
r429474,Residential plot,1110 sq.ft,Super Area,88.8 Lac,Possession by Oct'24
r429474,Residential plot,1169 sq.ft,Super Area,93.5 Lac,Possession by Oct'24
r417614,3 BHK,1530 sq.ft,Super Area,1.32 Cr,Possession by Dec'25
r417614,3 BHK,1685 sq.ft,Super Area,1.45 Cr,Possession by Dec'25
r434608,3 BHK,2200 sq.ft,Super Area,3.41 Cr,Possession by Dec'29
r434608,4 BHK,2372 sq.ft,Super Area,Price Not Available,Possession by Dec'29
r434608,4 BHK,2383 sq.ft,Super Area,Price Not Available,Possession by Dec'29
r434608,4 BHK,2800 sq.ft,Super Area,4.34 Cr,Possession by Dec'29
r434608,4 BHK,2978 sq.ft,Super Area,Price Not Available,Possession by Dec'29
r434608,,3600 sq.ft,Super Area,,Possession by Dec'29
r376598,4 BHK,3048 sq.ft,Super Area,2.81 Cr,Possession by May'23
r376598,4 BHK,3051 sq.ft,Super Area,2.80 Cr,Possession by May'23
r376598,4 BHK villa,3048 sq.ft,Super Area,2.81 Cr,Possession by May'23
r376598,,3051 sq.ft,Super Area,,Possession by May'23
r434202,3 BHK,1542 sq.ft,Super Area,81 Lac,Possession by Jun'31
r434202,2 BHK,970 sq.ft,Super Area,50.9 Lac,Possession by Jun'31
r434202,2 BHK,985 sq.ft,Super Area,51.7 Lac,Possession by Jun'31
r434202,2 BHK,1077 sq.ft,Super Area,56.5 Lac,Possession by Jun'31
r434202,1 BHK,560 sq.ft,Super Area,29.4 Lac,Possession by Jun'31
r332831,3 BHK,1700 sq.ft,Super Area,2.26 Cr,Possession by Oct'27
r332831,3 BHK,2040 sq.ft,Super Area,2.91 Cr,Possession by Oct'27
r332831,3 BHK,2555 sq.ft,Super Area,3.65 Cr,Possession by Oct'27
r332831,4 BHK,3355 sq.ft,Super Area,4.79 Cr,Possession by Oct'27
r432552,3 BHK,1603 sq.ft,Super Area,83.4 Lac,Possession by Dec'27
r432552,3 BHK,1608 sq.ft,Super Area,83.6 Lac,Possession by Dec'27
r432552,3 BHK,1610 sq.ft,Super Area,83.7 Lac,Possession by Dec'27
r432552,3 BHK,1611 sq.ft,Super Area,83.8 Lac,Possession by Dec'27
r432552,3 BHK,1633 sq.ft,Super Area,84.9 Lac,Possession by Dec'27
r432552,3 BHK,1647 sq.ft,Super Area,85.6 Lac,Possession by Dec'27
r432552,3 BHK,1656 sq.ft,Super Area,86.1 Lac,Possession by Dec'27
r432552,3 BHK,1665 sq.ft,Super Area,86.6 Lac,Possession by Dec'27
r432552,3 BHK,1671 sq.ft,Super Area,86.9 Lac,Possession by Dec'27
r422307,3 BHK,1400 sq.ft,Super Area,45.5 Lac,Possession by Dec'25
r422307,3 BHK,1430 sq.ft,Super Area,46.5 Lac,Possession by Dec'25
r422307,3 BHK,1480 sq.ft,Super Area,48.1 Lac,Possession by Dec'25
r422307,2 BHK,1025 sq.ft,Super Area,33.3 Lac,Possession by Dec'25
r422307,2 BHK,1035 sq.ft,Super Area,33.6 Lac,Possession by Dec'25
r422307,2 BHK,1045 sq.ft,Super Area,34 Lac,Possession by Dec'25
r422307,2 BHK,1075 sq.ft,Super Area,34.9 Lac,Possession by Dec'25
r422307,2 BHK,1100 sq.ft,Super Area,35.8 Lac,Possession by Dec'25
r422453,3 BHK,2150 sq.ft,Super Area,2.84 Cr,Possession by Jun'28
r422453,3 BHK,2154 sq.ft,Super Area,2.84 Cr,Possession by Jun'28
r422453,3 BHK,2156 sq.ft,Super Area,2.85 Cr,Possession by Jun'28
r422453,3 BHK,2157 sq.ft,Super Area,2.85 Cr,Possession by Jun'28
r422453,3 BHK,2158 sq.ft,Super Area,2.85 Cr,Possession by Jun'28
r422453,4 BHK,3042 sq.ft,Super Area,4.02 Cr,Possession by Jun'28
r422453,4 BHK,3043 sq.ft,Super Area,4.02 Cr,Possession by Jun'28
r422453,4 BHK,3044 sq.ft,Super Area,4.02 Cr,Possession by Jun'28
r354918,3 BHK,1649 sq.ft,Super Area,98.6 Lac,Possession by Mar'24
r354918,3 BHK,1720 sq.ft,Super Area,1.02 Cr,Possession by Mar'24
r354918,3 BHK,1809 sq.ft,Super Area,1.08 Cr,Possession by Mar'24
r354918,2 BHK,1439 sq.ft,Super Area,86.1 Lac,Possession by Mar'24
r418266,3 BHK,1525 sq.ft,Super Area,83.9 Lac,Possession by Jul'26
r418266,3 BHK,1650 sq.ft,Super Area,90.8 Lac,Possession by Jul'26
r418266,2 BHK,1200 sq.ft,Super Area,66 Lac,Possession by Jul'26
r418266,2 BHK,1250 sq.ft,Super Area,68.8 Lac,Possession by Jul'26
r437026,Residential plot,600 sq.ft,Super Area,23.3 Lac,Possession by Jan'25
r437026,Residential plot,879 sq.ft,Super Area,34.1 Lac,Possession by Jan'25
r437026,Residential plot,1200 sq.ft,Super Area,46.6 Lac,Possession by Jan'25
r437026,Residential plot,1266 sq.ft,Super Area,49.1 Lac,Possession by Jan'25
r437026,Residential plot,1481 sq.ft,Super Area,57.5 Lac,Possession by Jan'25
r437026,Residential plot,1500 sq.ft,Super Area,58.2 Lac,Possession by Jan'25
r437026,Residential plot,1508 sq.ft,Super Area,58.5 Lac,Possession by Jan'25
r437026,Residential plot,1650 sq.ft,Super Area,64 Lac,Possession by Jan'25
r390015,Residential plot,1098 sq.ft,Super Area,26.4 Lac,Possession by Dec'27
r390015,Residential plot,1291 sq.ft,Super Area,31 Lac,Possession by Dec'27
r390015,Residential plot,1414 sq.ft,Super Area,33.9 Lac,Possession by Dec'27
r390015,Residential plot,1502 sq.ft,Super Area,36 Lac,Possession by Dec'27
r390015,Residential plot,1550 sq.ft,Super Area,37.2 Lac,Possession by Dec'27
r390015,Residential plot,1792 sq.ft,Super Area,43 Lac,Possession by Dec'27
r390015,Residential plot,2118 sq.ft,Super Area,50.8 Lac,Possession by Dec'27
r390015,Residential plot,2260 sq.ft,Super Area,54.2 Lac,Possession by Dec'27
r390015,Residential plot,2314 sq.ft,Super Area,55.5 Lac,Possession by Dec'27
r390015,Residential plot,2667 sq.ft,Super Area,64 Lac,Possession by Dec'27
r390015,Residential plot,2675 sq.ft,Super Area,64.2 Lac,Possession by Dec'27
r390015,Residential plot,2807 sq.ft,Super Area,67.4 Lac,Possession by Dec'27
r390015,Residential plot,2922 sq.ft,Super Area,70.1 Lac,Possession by Dec'27
r390015,Residential plot,3191 sq.ft,Super Area,76.6 Lac,Possession by Dec'27
r390015,Residential plot,4400 sq.ft,Super Area,1.05 Cr,Possession by Dec'27
r390015,Residential plot,5813 sq.ft,Super Area,1.39 Cr,Possession by Dec'27
r390015,Residential plot,6460 sq.ft,Super Area,1.55 Cr,Possession by Dec'27
r390015,Residential plot,6694 sq.ft,Super Area,1.60 Cr,Possession by Dec'27
r390015,Residential plot,6749 sq.ft,Super Area,1.61 Cr,Possession by Dec'27
r390015,Residential plot,6824 sq.ft,Super Area,1.63 Cr,Possession by Dec'27
r390015,Residential plot,9000 sq.ft,Super Area,2.17 Cr,Possession by Dec'27
r390015,Residential plot,9258 sq.ft,Super Area,2.23 Cr,Possession by Dec'27
r376463,3 BHK,812 sq.ft,Super Area,65.8 Lac,Possession by Dec'26
r376463,3 BHK,834 sq.ft,Super Area,66.9 Lac,Possession by Dec'26
r376463,3 BHK,938 sq.ft,Super Area,76 Lac,Possession by Dec'26
r376463,3 BHK,1085 sq.ft,Super Area,60 Lac,Possession by Dec'26
r376463,3 BHK,1112 sq.ft,Super Area,90.2 Lac,Possession by Dec'26
r376463,3 BHK,1223 sq.ft,Super Area,67 Lac,Possession by Dec'26
r376463,3 BHK,1235 sq.ft,Super Area,1 Cr,Possession by Dec'26
r376463,2 BHK,600 sq.ft,Super Area,48.6 Lac,Possession by Dec'26
r376463,2 BHK,644 sq.ft,Super Area,48.4 Lac,Possession by Dec'26
r376463,2 BHK,656 sq.ft,Super Area,40.9 Lac,Possession by Dec'26
r376463,2 BHK,700 sq.ft,Super Area,56.8 Lac,Possession by Dec'26
r376463,2 BHK,793 sq.ft,Super Area,64.3 Lac,Possession by Dec'26
r376463,2 BHK,893 sq.ft,Super Area,46 Lac,Possession by Dec'26
r376463,2 BHK,920 sq.ft,Super Area,51 Lac,Possession by Dec'26
r376463,2 BHK,1032 sq.ft,Super Area,54 Lac,Possession by Dec'26
r376463,2 BHK,1042 sq.ft,Super Area,84.5 Lac,Possession by Dec'26
r352,Residential plot,927 sq.ft,Super Area,1.18 Cr,Possession by Dec'18
r352,Residential plot,972 sq.ft,Super Area,1.25 Cr,Possession by Dec'18
r352,Residential plot,1440 sq.ft,Super Area,1.60 Cr,Possession by Dec'18
r352,Residential plot,1620 sq.ft,Super Area,1.98 Cr,Possession by Dec'18
r352,Residential plot,1710 sq.ft,Super Area,2.10 Cr,Possession by Dec'18
r352,Residential plot,2250 sq.ft,Super Area,2.90 Cr,Possession by Dec'18
r352,Residential plot,2475 sq.ft,Super Area,3.25 Cr,Possession by Dec'18
r352,Residential plot,2727 sq.ft,Super Area,3.50 Cr,Possession by Dec'18
r352,Residential plot,3150 sq.ft,Super Area,4 Cr,Possession by Dec'18
r352,Residential plot,3348 sq.ft,Super Area,4.10 Cr,Possession by Dec'18
r352,Residential plot,4212 sq.ft,Super Area,5.14 Cr,Possession by Dec'18
r352,Residential plot,4500 sq.ft,Super Area,6.50 Cr,Possession by Dec'18
r871,2 BHK,1435 sq.ft,Super Area,2.65 Cr,Possession by Dec'16
r871,2 BHK,1467 sq.ft,Super Area,2.71 Cr,Possession by Dec'16
r871,2 BHK,1475 sq.ft,Super Area,2.73 Cr,Possession by Dec'16
r871,2 BHK,1498 sq.ft,Super Area,2.77 Cr,Possession by Dec'16
r402643,3 BHK,1130 sq.ft,Super Area,61.4 Lac,Possession by Dec'27
r402643,3 BHK,1250 sq.ft,Super Area,68 Lac,Possession by Dec'27
r402643,3 BHK,1460 sq.ft,Super Area,79.4 Lac,Possession by Dec'27
r402643,2 BHK,880 sq.ft,Super Area,47.8 Lac,Possession by Dec'27
r402643,2 BHK,960 sq.ft,Super Area,52 Lac,Possession by Dec'27
r402643,4 BHK,1840 sq.ft,Super Area,1 Cr,Possession by Dec'27
r344265,3 BHK,840 sq.ft,Super Area,35 Lac,Possession by Mar'24
r344265,2 BHK,630 sq.ft,Super Area,26.4 Lac,Possession by Mar'24
r344265,1 BHK,425 sq.ft,Super Area,17.8 Lac,Possession by Mar'24
r426337,3 BHK,1300 sq.ft,Super Area,2.14 Cr,Possession by Dec'29
r426337,3 BHK,1302 sq.ft,Super Area,2.24 Cr,Possession by Dec'29
r426337,3 BHK,1755 sq.ft,Super Area,2 Cr,Possession by Dec'29
r426337,3 BHK,1762 sq.ft,Super Area,2.15 Cr,Possession by Dec'29
r426337,3 BHK,1765 sq.ft,Super Area,2.18 Cr,Possession by Dec'29
r426337,3 BHK,1775 sq.ft,Super Area,2.17 Cr,Possession by Dec'29
r426337,3 BHK,1785 sq.ft,Super Area,2.25 Cr,Possession by Dec'29
r426337,3 BHK,1789 sq.ft,Super Area,2.19 Cr,Possession by Dec'29
r426337,5 BHK,2604 sq.ft,Super Area,4.29 Cr,Possession by Dec'29
r426337,4 BHK,2059 sq.ft,Super Area,3.45 Cr,Possession by Dec'29
r426337,4 BHK,2760 sq.ft,Super Area,3.07 Cr,Possession by Dec'29
r426337,4 BHK,2780 sq.ft,Super Area,3.40 Cr,Possession by Dec'29
r426337,4 BHK,2788 sq.ft,Super Area,3.37 Cr,Possession by Dec'29
r426337,4 BHK,2790 sq.ft,Super Area,3.45 Cr,Possession by Dec'29
r426337,4 BHK,2795 sq.ft,Super Area,3.38 Cr,Possession by Dec'29
r426337,4 BHK,2801 sq.ft,Super Area,3.40 Cr,Possession by Dec'29
r270000,3 BHK,1285 sq.ft,Super Area,1.40 Cr,Possession by Jun'25
r270000,3 BHK,1575 sq.ft,Super Area,1.71 Cr,Possession by Jun'25
r270000,2 BHK,1100 sq.ft,Super Area,1.19 Cr,Possession by Jun'25
r407293,3 BHK,1455 sq.ft,Super Area,1.04 Cr,Possession by Dec'25
r407293,3 BHK,1535 sq.ft,Super Area,1.10 Cr,Possession by Dec'25
r407293,3 BHK,1545 sq.ft,Super Area,1.11 Cr,Possession by Dec'25
r407293,3 BHK,1620 sq.ft,Super Area,1.16 Cr,Possession by Dec'25
r407293,3 BHK,1640 sq.ft,Super Area,1.18 Cr,Possession by Dec'25
r407293,3 BHK,1725 sq.ft,Super Area,1.24 Cr,Possession by Dec'25
r407293,3 BHK,2025 sq.ft,Super Area,1.45 Cr,Possession by Dec'25
r407293,3 BHK,2325 sq.ft,Super Area,1.67 Cr,Possession by Dec'25
r407293,2 BHK,1215 sq.ft,Super Area,87.5 Lac,Possession by Dec'25
r407293,2 BHK,1240 sq.ft,Super Area,89.3 Lac,Possession by Dec'25
r402373,3 BHK,1221 sq.ft,Super Area,4.78 Cr,Possession by Mar'24
r402373,3 BHK,1235 sq.ft,Super Area,5.50 Cr,Possession by Mar'24
r402373,3 BHK,1711 sq.ft,Super Area,6.70 Cr,Possession by Mar'24
r402373,2 BHK,535 sq.ft,Super Area,2.50 Cr,Possession by Mar'24
r402373,2 BHK,772 sq.ft,Super Area,3.02 Cr,Possession by Mar'24
r402373,2 BHK,780 sq.ft,Super Area,3.05 Cr,Possession by Mar'24
r402373,4 BHK,1697 sq.ft,Super Area,6.64 Cr,Possession by Mar'24
r402373,4 BHK,1993 sq.ft,Super Area,7.80 Cr,Possession by Mar'24
r402373,4 BHK,2007 sq.ft,Super Area,9.50 Cr,Possession by Mar'24
r28336,3 BHK,1725 sq.ft,Super Area,53 Lac,Possession by Dec'17
r28336,3 BHK,1925 sq.ft,Super Area,58 Lac,Possession by Dec'17
r28336,2 BHK,1225 sq.ft,Super Area,37.6 Lac,Possession by Dec'17
r407338,3 BHK,1875 sq.ft,Super Area,1.42 Cr,Possession by Jan'29
r407338,3 BHK,2095 sq.ft,Super Area,1.59 Cr,Possession by Jan'29
r407338,3 BHK,2425 sq.ft,Super Area,1.84 Cr,Possession by Jan'29
r418615,3 BHK,1007 sq.ft,Super Area,2.77 Cr,Possession by Aug'29
r418615,3 BHK,1009 sq.ft,Super Area,2.78 Cr,Possession by Aug'29
r418615,3 BHK,1218 sq.ft,Super Area,3.36 Cr,Possession by Aug'29
r418615,3 BHK,1255 sq.ft,Super Area,3.46 Cr,Possession by Aug'29
r418615,2 BHK,761 sq.ft,Super Area,2.09 Cr,Possession by Aug'29
r418615,2 BHK,766 sq.ft,Super Area,2.18 Cr,Possession by Aug'29
r418615,2 BHK,769 sq.ft,Super Area,2.12 Cr,Possession by Aug'29
r418615,2 BHK,776 sq.ft,Super Area,2.14 Cr,Possession by Aug'29
r429111,3 BHK,1521 sq.ft,Super Area,2.22 Cr,Possession by Feb'29
r429111,3 BHK,1547 sq.ft,Super Area,2.33 Cr,Possession by Feb'29
r429111,3 BHK,2350 sq.ft,Super Area,2.01 Cr,Possession by Feb'29
r429111,3 BHK,2450 sq.ft,Super Area,2.09 Cr,Possession by Feb'29
r415092,3 BHK,1534 sq.ft,Super Area,1.07 Cr,Possession by Oct'28
r415092,3 BHK,1548 sq.ft,Super Area,1.08 Cr,Possession by Oct'28
r415092,3 BHK,1631 sq.ft,Super Area,1.25 Cr,Possession by Oct'28
r415092,3 BHK,1687 sq.ft,Super Area,1.21 Cr,Possession by Oct'28
r415092,3 BHK,1898 sq.ft,Super Area,1.36 Cr,Possession by Oct'28
r415092,3 BHK,2034 sq.ft,Super Area,1.42 Cr,Possession by Oct'28
r415092,3 BHK,2047 sq.ft,Super Area,1.43 Cr,Possession by Oct'28
r415092,3 BHK,2049 sq.ft,Super Area,1.43 Cr,Possession by Oct'28
r415092,3 BHK,2136 sq.ft,Super Area,1.62 Cr,Possession by Oct'28
r415092,3 BHK,2144 sq.ft,Super Area,1.50 Cr,Possession by Oct'28
r415092,3 BHK,2168 sq.ft,Super Area,1.51 Cr,Possession by Oct'28
r415092,3 BHK,2169 sq.ft,Super Area,1.51 Cr,Possession by Oct'28
r415092,3 BHK,2181 sq.ft,Super Area,1.52 Cr,Possession by Oct'28
r415092,3 BHK,2238 sq.ft,Super Area,1.56 Cr,Possession by Oct'28
r415092,3 BHK,2245 sq.ft,Super Area,1.57 Cr,Possession by Oct'28
r415092,3 BHK,2433 sq.ft,Super Area,1.72 Cr,Possession by Oct'28
r415092,2 BHK,1179 sq.ft,Super Area,90.8 Lac,Possession by Oct'28
r415092,4 BHK,2433 sq.ft,Super Area,1.70 Cr,Possession by Oct'28
r415092,4 BHK,3348 sq.ft,Super Area,2.57 Cr,Possession by Oct'28
r415092,4 BHK,3355 sq.ft,Super Area,2.52 Cr,Possession by Oct'28
r415092,4 BHK,3357 sq.ft,Super Area,2.34 Cr,Possession by Oct'28
r415092,4 BHK,3381 sq.ft,Super Area,2.36 Cr,Possession by Oct'28
r415092,4 BHK,3431 sq.ft,Super Area,2.40 Cr,Possession by Oct'28
r420301,3 BHK,3440 sq.ft,Super Area,8.69 Cr,Possession by Oct'28
r420301,3 BHK,3685 sq.ft,Super Area,9.31 Cr,Possession by Oct'28
r420301,4 BHK,4246 sq.ft,Super Area,10.73 Cr,Possession by Oct'28
r421070,3 BHK,1421 sq.ft,Super Area,89.5 Lac,Possession by Aug'24
r421070,3 BHK,1446 sq.ft,Super Area,91.1 Lac,Possession by Aug'24
r421070,3 BHK,1453 sq.ft,Super Area,91.5 Lac,Possession by Aug'24
r421070,3 BHK,1471 sq.ft,Super Area,92.7 Lac,Possession by Aug'24
r421070,2 BHK,1057 sq.ft,Super Area,66.6 Lac,Possession by Aug'24
r421070,2 BHK,1060 sq.ft,Super Area,66.8 Lac,Possession by Aug'24
r421070,2 BHK,1068 sq.ft,Super Area,67.3 Lac,Possession by Aug'24
r421070,2 BHK,1075 sq.ft,Super Area,67.7 Lac,Possession by Aug'24
r421070,2 BHK,1090 sq.ft,Super Area,68.7 Lac,Possession by Aug'24
r421070,2 BHK,1100 sq.ft,Super Area,69.3 Lac,Possession by Aug'24
r394740,Residential plot,600 sq.ft,Super Area,12 Lac,Possession by Jan'27
r394740,Residential plot,610 sq.ft,Super Area,12.2 Lac,Possession by Jan'27
r394740,Residential plot,800 sq.ft,Super Area,16 Lac,Possession by Jan'27
r394740,Residential plot,810 sq.ft,Super Area,16.2 Lac,Possession by Jan'27
r394740,Residential plot,1000 sq.ft,Super Area,20 Lac,Possession by Jan'27
r394740,Residential plot,1010 sq.ft,Super Area,20.2 Lac,Possession by Jan'27
r394740,Residential plot,1035 sq.ft,Super Area,20.7 Lac,Possession by Jan'27
r394740,Residential plot,1045 sq.ft,Super Area,20.9 Lac,Possession by Jan'27
r394740,Residential plot,1125 sq.ft,Super Area,22.5 Lac,Possession by Jan'27
r394740,Residential plot,1135 sq.ft,Super Area,22.7 Lac,Possession by Jan'27
r394740,Residential plot,1500 sq.ft,Super Area,30 Lac,Possession by Jan'27
r394740,Residential plot,1510 sq.ft,Super Area,30.2 Lac,Possession by Jan'27
r394740,Residential plot,2000 sq.ft,Super Area,40 Lac,Possession by Jan'27
r394740,Residential plot,2010 sq.ft,Super Area,40.2 Lac,Possession by Jan'27
r445983,3 BHK villa,1718 sq.ft,Super Area,1.65 Cr,Possession by Feb'25
r445983,3 BHK villa,1807 sq.ft,Super Area,1.71 Cr,Possession by Feb'25
r445983,3 BHK villa,1995 sq.ft,Super Area,1.93 Cr,Possession by Feb'25
r445983,2 BHK villa,1995 sq.ft,Super Area,1.93 Cr,Possession by Feb'25
r203,3 BHK,942 sq.ft,Super Area,1.36 Cr,Possession by Sep'25
r203,3 BHK,962 sq.ft,Super Area,1.38 Cr,Possession by Sep'25
r203,2 BHK,799 sq.ft,Super Area,1.03 Cr,Possession by Sep'25
r203,2 BHK,815 sq.ft,Super Area,1.16 Cr,Possession by Sep'25
r427272,3 BHK,1295 sq.ft,Super Area,86.9 Lac,Possession by Dec'25
r427272,3 BHK,1300 sq.ft,Super Area,87.2 Lac,Possession by Dec'25
r427272,2 BHK,1140 sq.ft,Super Area,76.5 Lac,Possession by Dec'25
r256111,3 BHK,1711 sq.ft,Super Area,3.14 Cr,Possession by Sep'21
r256111,3 BHK,2072 sq.ft,Super Area,3.80 Cr,Possession by Sep'21
r256111,2 BHK,1381 sq.ft,Super Area,2.50 Cr,Possession by Sep'21
r418941,3 BHK,1073 sq.ft,Super Area,44 Lac,Possession by Nov'26
r418941,3 BHK,1082 sq.ft,Super Area,44.4 Lac,Possession by Nov'26
r418941,3 BHK,1115 sq.ft,Super Area,45.7 Lac,Possession by Nov'26
r418941,3 BHK,1134 sq.ft,Super Area,46.5 Lac,Possession by Nov'26
r418941,3 BHK,1159 sq.ft,Super Area,47.5 Lac,Possession by Nov'26
r418941,3 BHK,1182 sq.ft,Super Area,48.5 Lac,Possession by Nov'26
r418941,3 BHK,1198 sq.ft,Super Area,49.1 Lac,Possession by Nov'26
r418941,3 BHK,1283 sq.ft,Super Area,52.6 Lac,Possession by Nov'26
r418941,3 BHK,1285 sq.ft,Super Area,52.7 Lac,Possession by Nov'26
r418941,3 BHK,1327 sq.ft,Super Area,54.4 Lac,Possession by Nov'26
r418941,3 BHK,1335 sq.ft,Super Area,54.7 Lac,Possession by Nov'26
r418941,3 BHK,1336 sq.ft,Super Area,54.8 Lac,Possession by Nov'26
r418941,2 BHK,858 sq.ft,Super Area,35.2 Lac,Possession by Nov'26
r418941,2 BHK,873 sq.ft,Super Area,35.8 Lac,Possession by Nov'26
r418941,2 BHK,876 sq.ft,Super Area,35.9 Lac,Possession by Nov'26
r418941,2 BHK,901 sq.ft,Super Area,36.9 Lac,Possession by Nov'26
r418941,2 BHK,904 sq.ft,Super Area,37.1 Lac,Possession by Nov'26
r418941,2 BHK,906 sq.ft,Super Area,37.1 Lac,Possession by Nov'26
r418941,2 BHK,915 sq.ft,Super Area,37.5 Lac,Possession by Nov'26
r418941,2 BHK,917 sq.ft,Super Area,37.6 Lac,Possession by Nov'26
r418941,2 BHK,919 sq.ft,Super Area,37.7 Lac,Possession by Nov'26
r418941,2 BHK,941 sq.ft,Super Area,38.6 Lac,Possession by Nov'26
r418941,2 BHK,967 sq.ft,Super Area,39.6 Lac,Possession by Nov'26
r334919,3 BHK,1850 sq.ft,Super Area,2.62 Cr,Possession by Dec'23
r334919,3 BHK,1895 sq.ft,Super Area,2.69 Cr,Possession by Dec'23
r334919,2 BHK,1225 sq.ft,Super Area,1.71 Cr,Possession by Dec'23
r425244,3 BHK,964 sq.ft,Super Area,1.61 Cr,Possession by Dec'30
r425244,3 BHK,1015 sq.ft,Super Area,1.69 Cr,Possession by Dec'30
r425244,3 BHK,1610 sq.ft,Super Area,1.61 Cr,Possession by Dec'30
r425244,3 BHK,1700 sq.ft,Super Area,1.69 Cr,Possession by Dec'30
r425244,2 BHK,520 sq.ft,Super Area,87 Lac,Possession by Dec'30
r425244,2 BHK,527 sq.ft,Super Area,88.1 Lac,Possession by Dec'30
r425244,2 BHK,730 sq.ft,Super Area,1.22 Cr,Possession by Dec'30
r425244,2 BHK,740 sq.ft,Super Area,1.23 Cr,Possession by Dec'30
r425244,2 BHK,870 sq.ft,Super Area,87 Lac,Possession by Dec'30
r425244,2 BHK,880 sq.ft,Super Area,88.1 Lac,Possession by Dec'30
r425244,2 BHK,1220 sq.ft,Super Area,1.22 Cr,Possession by Dec'30
r425244,2 BHK,1240 sq.ft,Super Area,1.23 Cr,Possession by Dec'30
r296597,3 BHK,3525 sq.ft,Super Area,11.28 Cr,Possession by Dec'24
r296597,3 BHK,3550 sq.ft,Super Area,11.36 Cr,Possession by Dec'24
r296597,4 BHK,4550 sq.ft,Super Area,14.56 Cr,Possession by Dec'24
r296597,4 BHK,6050 sq.ft,Super Area,19.36 Cr,Possession by Dec'24
r414298,3 BHK,1400 sq.ft,Super Area,98 Lac,Possession by Mar'28
r414298,3 BHK,1440 sq.ft,Super Area,1 Cr,Possession by Mar'28
r414298,3 BHK,1640 sq.ft,Super Area,1.14 Cr,Possession by Mar'28
r414298,3 BHK,1865 sq.ft,Super Area,1.30 Cr,Possession by Mar'28
r414298,3 BHK,1975 sq.ft,Super Area,1.38 Cr,Possession by Mar'28
r414298,3 BHK,2880 sq.ft,Super Area,2.01 Cr,Possession by Mar'28
r414298,2 BHK,1300 sq.ft,Super Area,91 Lac,Possession by Mar'28
r414298,4 BHK,2900 sq.ft,Super Area,2.02 Cr,Possession by Mar'28
r414298,4 BHK,2920 sq.ft,Super Area,2.04 Cr,Possession by Mar'28
r414298,4 BHK,4900 sq.ft,Super Area,3.42 Cr,Possession by Mar'28
r432564,3 BHK,2450 sq.ft,Super Area,2.24 Cr,Possession by Mar'28
r432564,3 BHK,2455 sq.ft,Super Area,2.24 Cr,Possession by Mar'28
r432564,3 BHK,2500 sq.ft,Super Area,2.28 Cr,Possession by Mar'28
r432564,3 BHK,2505 sq.ft,Super Area,2.29 Cr,Possession by Mar'28
r432564,3 BHK,2515 sq.ft,Super Area,2.30 Cr,Possession by Mar'28
r432564,3 BHK,2540 sq.ft,Super Area,2.32 Cr,Possession by Mar'28
r432564,3 BHK,2560 sq.ft,Super Area,2.34 Cr,Possession by Mar'28
r432564,4 BHK,2860 sq.ft,Super Area,2.61 Cr,Possession by Mar'28
r425841,3 BHK,1654 sq.ft,Super Area,1.55 Cr,Possession by Dec'29
r425841,3 BHK,1717 sq.ft,Super Area,1.50 Cr,Possession by Dec'29
r425841,3 BHK,1783 sq.ft,Super Area,1.56 Cr,Possession by Dec'29
r425841,3 BHK,1789 sq.ft,Super Area,1.56 Cr,Possession by Dec'29
r425841,2 BHK,1071 sq.ft,Super Area,90 Lac,Possession by Dec'29
r425841,2 BHK,1079 sq.ft,Super Area,90.5 Lac,Possession by Dec'29
r425841,2 BHK,1108 sq.ft,Super Area,97.1 Lac,Possession by Dec'29
r425841,2 BHK,1118 sq.ft,Super Area,97.9 Lac,Possession by Dec'29
r425841,2 BHK,1262 sq.ft,Super Area,1.18 Cr,Possession by Dec'29
r425841,2 BHK,1310 sq.ft,Super Area,91 Lac,Possession by Dec'29
r425841,4 BHK,2096 sq.ft,Super Area,1.97 Cr,Possession by Dec'29
r425841,4 BHK,2149 sq.ft,Super Area,1.96 Cr,Possession by Dec'29
r425841,4 BHK,2176 sq.ft,Super Area,1.97 Cr,Possession by Dec'29
r372188,Residential plot,600 sq.ft,Super Area,9.5 Lac,Possession by Aug'23
r372188,Residential plot,900 sq.ft,Super Area,14.3 Lac,Possession by Aug'23
