XID,Phase,Unit Type,Unit Size,Area Type,Price,Possession Date
R27874,Magic Bricks Phase 1,4,BHK Flat 2600 sq.ft,N/A,"₹ 3.58 Cr
₹3.11 lakh EMI",Ready to Move
R27874,Magic Bricks Phase 1,3,BHK Flat 1335 sq.ft,N/A,"₹ 2.35 Cr
₹2.04 lakh EMI",Ready to Move
R27874,Magic Bricks Phase 1,,N/A,N/A,,
R43298,Magic Bricks Phase 1,3,BHK Flat 972 sq.ft,N/A,"₹ 5.85 Cr
₹5.08 lakh EMI",Ready to Move
R43298,Magic Bricks Phase 1,4,BHK Flat 1662 sq.ft,N/A,Call for Price,Ready to Move
R43298,Magic Bricks Phase 1,3,BHK Flat 1446 sq.ft,N/A,"₹ 5 Cr
₹4.34 lakh EMI",Ready to Move
R62113,Magic Bricks Phase 1,1,BHK Flat 501 sq.ft,N/A,"₹ 48 Lac
₹41.7K EMI",Ready to Move
R62113,Magic Bricks Phase 1,2,BHK Flat 765 sq.ft,N/A,"₹ 65 Lac
₹56.4K EMI",Under Construction
R62113,Magic Bricks Phase 1,Commercial,Shop 240 sq.ft,N/A,"₹ 55 Lac
₹47.7K EMI",Ready to Move
R62113,Magic Bricks Phase 2,2,BHK Flat 606 sq.ft,N/A,Call for Price,Ready to Move
R62113,Magic Bricks Phase 2,2,BHK Flat 641 sq.ft,N/A,Call for Price,Under Construction
R62113,Magic Bricks Phase 2,2,BHK Flat 705 sq.ft,N/A,Call for Price,Ready to Move
R62113,Magic Bricks Phase 1,1,BHK Flat 501 sq.ft,N/A,"₹ 48 Lac
₹41.7K EMI",Ready to Move
R62113,Magic Bricks Phase 1,2,BHK Flat 765 sq.ft,N/A,"₹ 65 Lac
₹56.4K EMI",Under Construction
R62113,Magic Bricks Phase 1,Commercial,Shop 240 sq.ft,N/A,"₹ 55 Lac
₹47.7K EMI",Ready to Move
R62113,Magic Bricks Phase 2,2,BHK Flat 606 sq.ft,N/A,Call for Price,Ready to Move
R62113,Magic Bricks Phase 2,2,BHK Flat 641 sq.ft,N/A,Call for Price,Under Construction
R62113,Magic Bricks Phase 2,2,BHK Flat 705 sq.ft,N/A,Call for Price,Ready to Move
R302149,Magic Bricks Phase 1,2,BHK Flat,N/A,Call for Price,New Construction
R302149,Magic Bricks Phase 1,2,BHK Flat 820 sq.ft,N/A,Call for Price,New Construction
R353221,Magic Bricks Phase 1,2,BHK Flat 750 sq.ft,N/A,"₹ 95 Lac
₹82.4K EMI",Ready to Move
R353221,Magic Bricks Phase 1,3,BHK Flat 894 sq.ft,N/A,"₹ 1.10 Cr
₹95.5K EMI",Ready to Move
R353221,Magic Bricks Phase 1,3,BHK Flat 1100 sq.ft,N/A,"₹ 1.10 Cr
₹95.5K EMI",Ready to Move
R355530,Magic Bricks Phase 1,2,BHK Flat 746 sq.ft,N/A,Call for Price,Under Construction
R355530,Magic Bricks Phase 1,2,BHK Flat 671 sq.ft,N/A,Call for Price,Under Construction
R390423,Magic Bricks Phase 1,3 BHK,1068 sq.ft,Super Area,1.18 Cr,Possession by Dec'28
R390423,Magic Bricks Phase 1,3 BHK,1098 sq.ft,Super Area,1.21 Cr,Possession by Dec'28
R241639,Magic Bricks Phase 1,1,BHK Flat 497 sq.ft,N/A,"₹ 50 Lac
₹43.4K EMI",Ready to Move
R241639,Magic Bricks Phase 1,1,BHK Flat 461 sq.ft,N/A,"₹ 43 Lac
₹37.3K EMI",Ready to Move
R371185,Magic Bricks Phase 1,3,BHK Flat 1010 sq.ft,N/A,"₹ 97 Lac
₹84.2K EMI",Under Construction
R371185,Magic Bricks Phase 1,2,BHK Flat 771 sq.ft,N/A,"₹ 70 Lac
₹60.7K EMI",Under Construction
R371185,Magic Bricks Phase 1,2,BHK Flat 714 sq.ft,N/A,"₹ 73 Lac
₹63.4K EMI",Ready to Move
R372021,Magic Bricks Phase 1,3,BHK Flat 1390 sq.ft,N/A,₹ 82.0 Lac,Under Construction
R372021,Magic Bricks Phase 1,2,BHK Flat 828 sq.ft,N/A,₹ 46.5 Lac,Under Construction
R372021,Magic Bricks Phase 1,2,BHK Flat 1000 sq.ft,N/A,₹ 65.0 Lac,
R380395,Magic Bricks Phase 1,2,BHK Flat 540 sq.ft,N/A,"₹ 60 Lac
₹52.1K EMI",Under Construction
R380395,Magic Bricks Phase 1,3,BHK Flat 972 sq.ft,N/A,"₹ 90 Lac
₹78.1K EMI",Ready to Move
R382262,Magic Bricks Phase 1,2 BHK,652 sq.ft,Super Area,3.70 Cr,Possession by Dec'26
R382262,Magic Bricks Phase 1,2 BHK,692 sq.ft,Super Area,3.93 Cr,Possession by Dec'26
R382816,Magic Bricks Phase 1,3,BHK Villa 1784 sq.ft,N/A,Call for Price,Under Construction
R382816,Magic Bricks Phase 1,3,BHK Villa 2535 sq.ft,N/A,Call for Price,Under Construction
R382816,Magic Bricks Phase 1,3,BHK Flat 1160 sq.ft,N/A,Call for Price,Under Construction
R383756,Magic Bricks Phase 1,2,BHK Flat 1021 sq.ft,N/A,Call for Price,Under Construction
R383756,Magic Bricks Phase 1,2,BHK Flat 800 sq.ft,N/A,Call for Price,Under Construction
R383756,Magic Bricks Phase 1,2,BHK Flat 1450 sq.ft,N/A,Call for Price,Under Construction
R387704,Magic Bricks Phase 1,3,BHK Flat 1100 sq.ft,N/A,Call for Price,Ready to Move
R395412,Magic Bricks Phase 1,3 BHK,1410 sq.ft,Super Area,94.5 Lac,Possession by Mar'28
R395412,Magic Bricks Phase 1,2 BHK,989 sq.ft,Super Area,67.5 Lac,Possession by Mar'28
R227305,Magic Bricks Phase 1,2,BHK Flat 870 sq.ft,N/A,"₹ 75.7 Lac
₹65.7K EMI",Under Construction
R227305,Magic Bricks Phase 1,2,BHK Flat 725 sq.ft,N/A,"₹ 70 Lac
₹60.7K EMI",Ready to Move
R227305,Magic Bricks Phase 1,2,BHK Flat 700 sq.ft,N/A,"₹ 74 Lac
₹64.2K EMI",Under Construction
R227305,Magic Bricks Phase 1,,N/A,N/A,,
R386719,Magic Bricks Phase 1,4,BHK Flat 2400 sq.ft,N/A,"₹ 15.60 Cr
₹13.54 lakh EMI",Ready to Move
R386719,Magic Bricks Phase 1,3,BHK Flat 1280 sq.ft,N/A,"₹ 8.75 Cr
₹7.59 lakh EMI",Ready to Move
R386719,Magic Bricks Phase 1,3,BHK Flat 1280 sq.ft,N/A,"₹ 8 Cr
₹6.94 lakh EMI",Ready to Move
R386719,Magic Bricks Phase 1,,N/A,N/A,,
R386719,Magic Bricks Phase 1,,N/A,N/A,,
R386719,Magic Bricks Phase 1,,N/A,N/A,,
R399575,Magic Bricks Phase 1,3,BHK Flat 1400 sq.ft,N/A,Call for Price,New Construction
R6936,Magic Bricks Phase 1,2,BHK Flat 850 sq.ft,N/A,"₹ 1.90 Cr
₹1.65 lakh EMI",Ready to Move
R6936,Magic Bricks Phase 1,3,BHK Flat 900 sq.ft,N/A,"₹ 1.95 Cr
₹1.69 lakh EMI",Ready to Move
R6936,Magic Bricks Phase 1,4,BHK Flat 1500 sq.ft,N/A,"₹ 4 Cr
₹3.47 lakh EMI",Ready to Move
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R6936,Magic Bricks Phase 1,,N/A,N/A,,
R7036,Magic Bricks Phase 1,1,BHK Flat 480 sq.ft,N/A,"₹ 32 Lac
₹27.8K EMI",Ready to Move
R7036,Magic Bricks Phase 1,2,BHK Flat 785 sq.ft,N/A,"₹ 56 Lac
₹48.6K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 518 sq.ft,N/A,"₹ 38 Lac
₹33.0K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 500 sq.ft,N/A,"₹ 33.5 Lac
₹29.1K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 720 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 493 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 4,1,BHK Flat 450 sq.ft,N/A,"₹ 28.5 Lac
₹24.7K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 480 sq.ft,N/A,"₹ 32 Lac
₹27.8K EMI",Ready to Move
R7036,Magic Bricks Phase 1,2,BHK Flat 785 sq.ft,N/A,"₹ 56 Lac
₹48.6K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 518 sq.ft,N/A,"₹ 38 Lac
₹33.0K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 500 sq.ft,N/A,"₹ 33.5 Lac
₹29.1K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 720 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 493 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 4,1,BHK Flat 450 sq.ft,N/A,"₹ 28.5 Lac
₹24.7K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 480 sq.ft,N/A,"₹ 32 Lac
₹27.8K EMI",Ready to Move
R7036,Magic Bricks Phase 1,2,BHK Flat 785 sq.ft,N/A,"₹ 56 Lac
₹48.6K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 518 sq.ft,N/A,"₹ 38 Lac
₹33.0K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 500 sq.ft,N/A,"₹ 33.5 Lac
₹29.1K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 720 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 493 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 4,1,BHK Flat 450 sq.ft,N/A,"₹ 28.5 Lac
₹24.7K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 480 sq.ft,N/A,"₹ 32 Lac
₹27.8K EMI",Ready to Move
R7036,Magic Bricks Phase 1,2,BHK Flat 785 sq.ft,N/A,"₹ 56 Lac
₹48.6K EMI",Ready to Move
R7036,Magic Bricks Phase 1,1,BHK Flat 518 sq.ft,N/A,"₹ 38 Lac
₹33.0K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 500 sq.ft,N/A,"₹ 33.5 Lac
₹29.1K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 720 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 2,1,BHK Flat 493 sq.ft,N/A,"₹ 32.5 Lac
₹28.2K EMI",Ready to Move
R7036,Magic Bricks Phase 4,1,BHK Flat 450 sq.ft,N/A,"₹ 28.5 Lac
₹24.7K EMI",Ready to Move
R257934,Magic Bricks Phase 1,2,BHK Flat 458 sq.ft,N/A,"₹ 92.5 Lac
₹80.3K EMI",Under Construction
R257934,Magic Bricks Phase 1,1,BHK Flat 429 sq.ft,N/A,"₹ 60 Lac
₹52.1K EMI",Under Construction
R257934,Magic Bricks Phase 1,2,BHK Flat 652 sq.ft,N/A,"₹ 89.9 Lac
₹78.0K EMI",Under Construction
R339289,Magic Bricks Phase 1,2,BHK Flat 428 sq.ft,N/A,"₹ 82 Lac
₹71.2K EMI",Under Construction
R339289,Magic Bricks Phase 1,2,BHK Flat 631 sq.ft,N/A,"₹ 90 Lac
₹78.1K EMI",Ready to Move
R348689,Magic Bricks Phase 1,3,BHK Flat 1180 sq.ft,N/A,Call for Price,Ready to Move
R348689,Magic Bricks Phase 1,4,BHK Flat 2000 sq.ft,N/A,Call for Price,Ready to Move
R348689,Magic Bricks Phase 1,Commercial,Shop 352 sq.ft,N/A,Call for Price,Ready to Move
R389414,Magic Bricks Phase 1,3,BHK Flat 905 sq.ft,N/A,Call for Price,Under Construction
R389414,Magic Bricks Phase 1,3,BHK Flat 822 sq.ft,N/A,Call for Price,Under Construction
R389414,Magic Bricks Phase 1,2,BHK Flat 828 sq.ft,N/A,Call for Price,Under Construction
R390851,Magic Bricks Phase 1,2,BHK Flat 950 sq.ft,N/A,Call for Price,Less than 5 years
