District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,chec_regno
Jaipur,KEDIA'S ATULYAM,PLOTTED,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10314,RAJ/P/2025/3540 (23/02/2025),View,RAJ_P_2025_3540 (23_02_2025)
Jaipur,RAMAA PALM COAST,PLOTTED,RAM GOPAL SINGHAL,RAJ-RERA-APP-P-2025-10297,RAJ/P/2025/3538 (23/02/2025),View,RAJ_P_2025_3538 (23_02_2025)
Jaipur,BEGAS GREEN'S,PLOTTED,Roylux Greenearth LLP,RAJ-RERA-APP-P-2025-10295,RAJ/P/2025/3539 (23/02/2025),View,RAJ_P_2025_3539 (23_02_2025)
Sri Ganganagar,ANAND VIHAR ASHIYANA,PLOTTED,Naresh Kumar Aggarwal,RAJ-RERA-APP-P-2025-10289,RAJ/P/2025/3535 (23/02/2025),View,RAJ_P_2025_3535 (23_02_2025)
Jaipur,Aadrash Vihar,PLOTTED,Laxmi Narayan Yadav,RAJ-RERA-APP-P-2025-10285,RAJ/P/2025/3533 (17/02/2025),View,RAJ_P_2025_3533 (17_02_2025)
Jaipur,Raj Laxmi Enclave-IX,PLOTTED,KAILASH CHAND SHARMA,RAJ-RERA-APP-P-2025-10286,RAJ/P/2025/3523 (14/02/2025),View,RAJ_P_2025_3523 (14_02_2025)
Sikar,ANNA NAGAR PHASE-4,PLOTTED,KANHAIYA LAL,RAJ-RERA-APP-P-2025-10287,RAJ/P/2025/3537 (23/02/2025),View,RAJ_P_2025_3537 (23_02_2025)
Jaipur,RIYASAT HERITAGE,PLOTTED,NEW PATH DEVELOPERS LLP,RAJ-RERA-APP-P-2025-10284,RAJ/P/2025/3524 (14/02/2025),View,RAJ_P_2025_3524 (14_02_2025)
Sri Ganganagar,Ridhi Sidhi City 2,PLOTTED,Bhumilaxmi Vanijya Private Limited,RAJ-RERA-APP-P-2025-10282,RAJ/P/2025/3536 (23/02/2025),View,RAJ_P_2025_3536 (23_02_2025)
Jaipur,SHREE ANANDAM,PLOTTED,JAI KISHAN PARWANI,RAJ-RERA-APP-P-2025-10277,RAJ/P/2025/3521 (13/02/2025),View,RAJ_P_2025_3521 (13_02_2025)
Sikar,Shree Shyam City Block-A,PLOTTED,Panni Devi,RAJ-RERA-APP-P-2025-10274,RAJ/P/2025/3512 (08/02/2025),View,RAJ_P_2025_3512 (08_02_2025)
Sikar,Shree Shyam City Block-B,PLOTTED,Manbhar Devi,RAJ-RERA-APP-P-2025-10275,RAJ/P/2025/3511 (07/02/2025),View,RAJ_P_2025_3511 (07_02_2025)
Kota,AKANSHA DEEP CENTRE,Mixed (Residential And Commercial),AKANSHA INFRA HOUSING PROJECTS,RAJ-RERA-APP-P-2025-10273,RAJ/P/2025/3532 (17/02/2025),View,RAJ_P_2025_3532 (17_02_2025)
Sri Ganganagar,GOKULAM GREENS,PLOTTED,OJASWI GOYAL,RAJ-RERA-APP-P-2025-10269,RAJ/P/2025/3522 (14/02/2025),View,RAJ_P_2025_3522 (14_02_2025)
Kota,ADINATH ANANT,PLOTTED,ADINATH AALAY,RAJ-RERA-APP-P-2025-10267,RAJ/P/2025/3531 (17/02/2025),View,RAJ_P_2025_3531 (17_02_2025)
Jaipur,THE DELIGHT,PLOTTED,RIYASAT INFRATECH DEVELOPERS LLP,RAJ-RERA-APP-P-2025-10266,RAJ/P/2025/3507 (05/02/2025),View,RAJ_P_2025_3507 (05_02_2025)
Sri Ganganagar,GOKULAM GREENS 2,PLOTTED,AMAN GOYAL,RAJ-RERA-APP-P-2025-10265,RAJ/P/2025/3530 (17/02/2025),View,RAJ_P_2025_3530 (17_02_2025)
Jaipur,GANGA ENCLAVE-VII,PLOTTED,RUKMA DEVI MEENA,RAJ-RERA-APP-P-2025-10263,RAJ/P/2025/3526 (17/02/2025),View,RAJ_P_2025_3526 (17_02_2025)
Jaipur,VRB AMBER EXTENSION,PLOTTED,VRB DREAM HOMES PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10257,RAJ/P/2025/3498 (29/01/2025),View,RAJ_P_2025_3498 (29_01_2025)
Sikar,RAJ NAGAR SCHEME-5,PLOTTED,RAHUL MANGAWA,RAJ-RERA-APP-P-2025-10256,RAJ/P/2025/3490 (23/01/2025),View,RAJ_P_2025_3490 (23_01_2025)
Sikar,Balaji Kripa Residential Scheme,PLOTTED,Shokat Ali,RAJ-RERA-APP-P-2025-10254,RAJ/P/2025/3520 (13/02/2025),View,RAJ_P_2025_3520 (13_02_2025)
Jaipur,Aero Residency,PLOTTED,Chart Real Square LLP,RAJ-RERA-APP-P-2025-10255,RAJ/P/2025/3496 (28/01/2025),View,RAJ_P_2025_3496 (28_01_2025)
Sikar,Metro City Phase-3,PLOTTED,Mahaveer Verma,RAJ-RERA-APP-P-2025-10252,RAJ/P/2025/3495 (28/01/2025),View,RAJ_P_2025_3495 (28_01_2025)
Jaipur,VRB WORLD CITY,PLOTTED,VRB BUILDERS AND DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10251,RAJ/P/2025/3528 (17/02/2025),View,RAJ_P_2025_3528 (17_02_2025)
Jaipur,RIYASAT NIRVANA,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10247,RAJ/P/2025/3497 (29/01/2025),View,RAJ_P_2025_3497 (29_01_2025)
Ajmer,Parvati Nagar-2,PLOTTED,VINEET BHANSALI,RAJ-RERA-APP-P-2025-10249,RAJ/P/2025/3503 (31/01/2025),View,RAJ_P_2025_3503 (31_01_2025)
Jaipur,VINAYAK AASHIYANA,GROUP HOUSING,AGARWAL BUILDERS,RAJ-RERA-APP-P-2025-10248,RAJ/P/2025/3534 (23/02/2025),View,RAJ_P_2025_3534 (23_02_2025)
Jaipur,SOLITAIRE HOMES,PLOTTED,SURYANSH BROTHERS,RAJ-RERA-APP-P-2025-10244,RAJ/P/2025/3483 (21/01/2025),View,RAJ_P_2025_3483 (21_01_2025)
Sri Ganganagar,RADHIKA ENCLAVE-1,PLOTTED,Sameer Agarwal,RAJ-RERA-APP-P-2025-10242,RAJ/P/2025/3529 (17/02/2025),View,RAJ_P_2025_3529 (17_02_2025)
Jaipur,SHREE VINAYAK HOMES 11,GROUP HOUSING,SHREE VINAYAK BUILDERS,RAJ-RERA-APP-P-2025-10243,RAJ/P/2025/3519 (13/02/2025),View,RAJ_P_2025_3519 (13_02_2025)
Jaipur,RUDRAKSH RESIDENCY,PLOTTED,RAJKUMAR SHARMA,RAJ-RERA-APP-P-2025-10237,RAJ/P/2025/3500 (30/01/2025),View,RAJ_P_2025_3500 (30_01_2025)
Jaipur,SHRINATH ENCLAVE - II,PLOTTED,VINOD KUMAR SEWANI,RAJ-RERA-APP-P-2025-10240,RAJ/P/2025/3502 (31/01/2025),View,RAJ_P_2025_3502 (31_01_2025)
Sikar,Kishan Vihar Residential Scheme,PLOTTED,Bhagwan Singh,RAJ-RERA-APP-P-2025-10236,RAJ/P/2025/3481 (17/01/2025),View,RAJ_P_2025_3481 (17_01_2025)
Jaipur,KEDIA'S LANDMARK,PLOTTED,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10234,RAJ/P/2025/3509 (07/02/2025),View,RAJ_P_2025_3509 (07_02_2025)
Sikar,VIKAS NAGAR AAWASIYA YOJANA,PLOTTED,PRAMOD KUMAR AGARWAL,RAJ-RERA-APP-P-2025-10229,RAJ/P/2025/3482 (21/01/2025),View,RAJ_P_2025_3482 (21_01_2025)
Jodhpur,R.K. VIHAR,PLOTTED,ASHOK .,RAJ-RERA-APP-P-2025-10232,RAJ/P/2025/3508 (07/02/2025),View,RAJ_P_2025_3508 (07_02_2025)
Jaipur,Aahvan Phase - I,GROUP HOUSING,Espiring Buildtech Developers LLP,RAJ-RERA-APP-P-2025-10233,RAJ/P/2025/3527 (17/02/2025),View,RAJ_P_2025_3527 (17_02_2025)
Kota,BAGESHWAR DHAM,PLOTTED,BHAGWATI COLONIZERS,RAJ-RERA-APP-P-2025-10231,RAJ/P/2025/3505 (03/02/2025),View,RAJ_P_2025_3505 (03_02_2025)
Sikar,Balaji Vihar Residential Scheme,PLOTTED,Naru Ram,RAJ-RERA-APP-P-2025-10227,RAJ/P/2025/3478 (13/01/2025),View,RAJ_P_2025_3478 (13_01_2025)
Jaipur,ROYAL RETREAT,GROUP HOUSING,TMV INFRAHEIGHTS LLP,RAJ-RERA-APP-P-2025-10226,RAJ/P/2025/3513 (11/02/2025),View,RAJ_P_2025_3513 (11_02_2025)
Jaipur,THE SOUTHERN CITY,PLOTTED,RIYASAT INFRATECH DEVELOPERS LLP,RAJ-RERA-APP-P-2025-10224,RAJ/P/2025/3469 (09/01/2025),View,RAJ_P_2025_3469 (09_01_2025)
Jaipur,KISSAN RESIDENCY,PLOTTED,KISSAN REAL INFRA LLP,RAJ-RERA-APP-P-2025-10225,RAJ/P/2025/3472 (10/01/2025),View,RAJ_P_2025_3472 (10_01_2025)
Jaipur,RIYASAT ECO PARK -l EXTENSION,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10222,RAJ/P/2025/3473 (10/01/2025),View,RAJ_P_2025_3473 (10_01_2025)
Ajmer,SHYAM NAGAR BLOCK-A,PLOTTED,SURENDER CHOUDHARY,RAJ-RERA-APP-P-2024-10217,RAJ/P/2025/3486 (21/01/2025),View,RAJ_P_2025_3486 (21_01_2025)
Jaipur,"GANGA APARTMENT, SEC 26 B-2 PART PHASE 2",GROUP HOUSING,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2024-10214,RAJ/P/2025/3491 (24/01/2025),View,RAJ_P_2025_3491 (24_01_2025)
Ajmer,Happy Vidhyashry Block - E,PLOTTED,DELIGHT INFRAHEIGHTS LLP,RAJ-RERA-APP-P-2024-10215,RAJ/P/2025/3467 (08/01/2025),View,RAJ_P_2025_3467 (08_01_2025)
Ajmer,HAPPY PARK BLOCK -A,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2024-10212,RAJ/P/2025/3459 (07/01/2025),View,RAJ_P_2025_3459 (07_01_2025)
Ajmer,HAPPY VIDHYASHRY BLOCK-D,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2024-10210,RAJ/P/2025/3462 (07/01/2025),View,RAJ_P_2025_3462 (07_01_2025)
Kota,SATYAM ENCLAVE,PLOTTED,OJASVI DOSAYA,RAJ-RERA-APP-P-2024-10209,RAJ/P/2025/3518 (13/02/2025),View,RAJ_P_2025_3518 (13_02_2025)
Jaipur,Pradhan City,PLOTTED,NATHU RAM SHARMA,RAJ-RERA-APP-P-2024-10207,RAJ/P/2025/3485 (21/01/2025),View,RAJ_P_2025_3485 (21_01_2025)
Jodhpur,ROOP SHREE HOMES 2,PLOTTED,DINESH RAM,RAJ-RERA-APP-P-2024-10206,RAJ/P/2025/3461 (07/01/2025),View,RAJ_P_2025_3461 (07_01_2025)
Sri Ganganagar,SPRING FIELD PHASE-3,PLOTTED,AJAY KANT SETIA,RAJ-RERA-APP-P-2024-10204,RAJ/P/2025/3477 (13/01/2025),View,RAJ_P_2025_3477 (13_01_2025)
Ajmer,Apeksha City Arya bhatta Block A,PLOTTED,APEKSHA HOUSING PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10202,RAJ/P/2025/3493 (27/01/2025),View,RAJ_P_2025_3493 (27_01_2025)
Sri Ganganagar,SPRING FIELD PHASE-2,PLOTTED,AAMIN SETIA,RAJ-RERA-APP-P-2024-10203,RAJ/P/2025/3456 (02/01/2025),View,RAJ_P_2025_3456 (02_01_2025)
Jaipur,Urban Ananda,GROUP HOUSING,Shivansh Madhav Infrastructure,RAJ-RERA-APP-P-2024-10205,RAJ/P/2024/3445 (31/12/2024),View,RAJ_P_2024_3445 (31_12_2024)
Sikar,Keshav Nagar Residential Scheme,PLOTTED,Sugan Chand,RAJ-RERA-APP-P-2024-10198,RAJ/P/2025/3494 (28/01/2025),View,RAJ_P_2025_3494 (28_01_2025)
Sikar,RAMA VIHAR AAVASIYA YOJANA,PLOTTED,Jagdish Singh,RAJ-RERA-APP-P-2024-10201,RAJ/P/2025/3466 (08/01/2025),View,RAJ_P_2025_3466 (08_01_2025)
Jaipur,Suncity Galleria,PLOTTED,Suncity Projects Private Limited,RAJ-RERA-APP-P-2024-10200,RAJ/P/2025/3455 (02/01/2025),View,RAJ_P_2025_3455 (02_01_2025)
Jaipur,DPM ROYAL ENCLAVE,PLOTTED,Khandelwal Infraheights Private Limited,RAJ-RERA-APP-P-2024-10197,RAJ/P/2025/3504 (03/02/2025),View,RAJ_P_2025_3504 (03_02_2025)
Ajmer,"Chachiyawas Residential (Scheme), Ajmer",PLOTTED,AJMER DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2024-10195,RAJ/P/2025/3471 (10/01/2025),View,RAJ_P_2025_3471 (10_01_2025)
Jodhpur,SHRI DWARKADHISH PURAM,PLOTTED,Hanuman ram,RAJ-RERA-APP-P-2024-10194,RAJ/P/2025/3517 (11/02/2025),View,RAJ_P_2025_3517 (11_02_2025)
Jaipur,GT Bellevue,Commercial,R AND R CONSORTIUM PVT. LTD.,RAJ-RERA-APP-P-2024-10191,RAJ/P/2025/3501 (30/01/2025),View,RAJ_P_2025_3501 (30_01_2025)
Kota,RAM NAGAR SPECIAL,PLOTTED,KOTA DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2024-10192,RAJ/P/2024/3446 (31/12/2024),View,RAJ_P_2024_3446 (31_12_2024)
Jaipur,SHIVALA,GROUP HOUSING,PARSHVANATH REALHOME PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10189,RAJ/P/2025/3460 (07/01/2025),View,RAJ_P_2025_3460 (07_01_2025)
Ajmer,VRINDAVAN VIHAR,PLOTTED,JAGDISH SINGH RATHORE,RAJ-RERA-APP-P-2024-10184,RAJ/P/2025/3465 (03/01/2025),View,RAJ_P_2025_3465 (03_01_2025)
Kota,ARIHANT NAGAR,PLOTTED,HEMRAJ LODHA,RAJ-RERA-APP-P-2024-10185,RAJ/P/2024/3448 (31/12/2024),View,RAJ_P_2024_3448 (31_12_2024)
Jaipur,Raghukul Dharohar,PLOTTED,Raghukul Infra Projects,RAJ-RERA-APP-P-2024-10187,RAJ/P/2024/3435 (20/12/2024),View,RAJ_P_2024_3435 (20_12_2024)
Jaipur,HARIGARH ESTATE PHASE-II,PLOTTED,Ajmer Colonizers Private Limited,RAJ-RERA-APP-P-2024-10188,RAJ/P/2024/3447 (31/12/2024),View,RAJ_P_2024_3447 (31_12_2024)
Jaipur,RIYASAT SANTOSHPURA,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10181,RAJ/P/2024/3428 (13/12/2024),View,RAJ_P_2024_3428 (13_12_2024)
Sawai Madhopur,VINAYAK ENCLAVE,PLOTTED,METHIBHANDARI REAL ESTATE LLP,RAJ-RERA-APP-P-2024-10179,RAJ/P/2024/3449 (31/12/2024),View,RAJ_P_2024_3449 (31_12_2024)
Jaipur,Shree Ram Vatika,PLOTTED,Lallu urf Ramanarayan,RAJ-RERA-APP-P-2024-10178,RAJ/P/2024/3436 (20/12/2024),View,RAJ_P_2024_3436 (20_12_2024)
Jaipur,RAGHUKUL GHARANA,PLOTTED,RAGHUKUL INFRA PROJECTS,RAJ-RERA-APP-P-2024-10180,RAJ/P/2024/3438 (23/12/2024),View,RAJ_P_2024_3438 (23_12_2024)
Jodhpur,ASHAPURNA NRI PHASE-X,PLOTTED,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2024-10177,RAJ/P/2025/3476 (13/01/2025),View,RAJ_P_2025_3476 (13_01_2025)
Sikar,SUNCITY HOME’S RESIDENTIAL SCHEME,PLOTTED,SUMTINATH REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10176,RAJ/P/2025/3464 (07/01/2025),View,RAJ_P_2025_3464 (07_01_2025)
Jodhpur,Sai Niwas Nagar,PLOTTED,SHANKAR LAL,RAJ-RERA-APP-P-2024-10174,RAJ/P/2024/3432 (19/12/2024),View,RAJ_P_2024_3432 (19_12_2024)
Jodhpur,ASHAPURNA MOHANBAGH-X,PLOTTED,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2024-10173,RAJ/P/2025/3487 (23/01/2025),View,RAJ_P_2025_3487 (23_01_2025)
Kota,RAMAN VATIKA PRIME,PLOTTED,OM PRAKASH NAGAR,RAJ-RERA-APP-P-2024-10170,RAJ/P/2024/3437 (20/12/2024),View,RAJ_P_2024_3437 (20_12_2024)
Jaipur,RR PALLACIA,GROUP HOUSING,Rameshwaram Builders and Developers,RAJ-RERA-APP-P-2024-10168,RAJ/P/2025/3516 (11/02/2025),View,RAJ_P_2025_3516 (11_02_2025)
Sri Ganganagar,RIDHI SIDHI COMMERCIAL HUB BLOCK B,PLOTTED,Saudagar Singh,RAJ-RERA-APP-P-2024-10172,RAJ/P/2025/3492 (27/01/2025),View,RAJ_P_2025_3492 (27_01_2025)
Kota,CENTRAL GREENS,PLOTTED,Horizon Projects And Infrastructure Private Limited,RAJ-RERA-APP-P-2024-10171,RAJ/P/2024/3439 (23/12/2024),View,RAJ_P_2024_3439 (23_12_2024)
Jaipur,CITY HOME GOLDEN VALLEY,PLOTTED,Jai Infratech Private Limited,RAJ-RERA-APP-P-2024-10167,RAJ/P/2025/3515 (11/02/2025),View,RAJ_P_2025_3515 (11_02_2025)
Sri Ganganagar,M/s SHRI ANAND DEVELOPERS,PLOTTED,SHRI ANAND DEVELOPERS,RAJ-RERA-APP-P-2024-10166,RAJ/P/2024/3451 (31/12/2024),View,RAJ_P_2024_3451 (31_12_2024)
Sikar,NEW GOVINDAM CITY PHASE - 2,PLOTTED,AAYSHA YADAV,RAJ-RERA-APP-P-2024-10162,RAJ/P/2024/3426 (10/12/2024),View,RAJ_P_2024_3426 (10_12_2024)
Kota,VRB VRINDAVAN CITY,PLOTTED,VRB DEVELOPERS LLP,RAJ-RERA-APP-P-2024-10165,RAJ/P/2024/3417 (04/12/2024),View,RAJ_P_2024_3417 (04_12_2024)
Jaipur,SHREE SHYAM HOME,GROUP HOUSING,RAVI BUILDTECH,RAJ-RERA-APP-P-2024-10164,RAJ/P/2024/3440 (23/12/2024),View,RAJ_P_2024_3440 (23_12_2024)
Alwar,Utsav,GROUP HOUSING,NIRMAN BUILDERS,RAJ-RERA-APP-P-2024-10163,RAJ/P/2024/3425 (10/12/2024),View,RAJ_P_2024_3425 (10_12_2024)
Jodhpur,ROOP SHREE PLAZA,PLOTTED,HANUMAN PRATAP SINGH,RAJ-RERA-APP-P-2024-10159,RAJ/P/2024/3424 (10/12/2024),View,RAJ_P_2024_3424 (10_12_2024)
Jodhpur,Shiv Aditya-Nagar,PLOTTED,Jabraram Chawda,RAJ-RERA-APP-P-2024-10157,RAJ/P/2024/3423 (10/12/2024),View,RAJ_P_2024_3423 (10_12_2024)
Ajmer,CITY CENTRAL,Commercial,PCMD REALTY PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10154,RAJ/P/2024/3441 (23/12/2024),View,RAJ_P_2024_3441 (23_12_2024)
Jaipur,SHREE KALYAN SAGAR BLOCK-A,PLOTTED,Shribhagirath Colonizers And Developers Private Limited,RAJ-RERA-APP-P-2024-10155,RAJ/P/2024/3418 (06/12/2024),View,RAJ_P_2024_3418 (06_12_2024)
Kota,NANDNI VIHAR,PLOTTED,OWAIS CONSTRUCTION COMPANY PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10152,RAJ/P/2025/3457 (02/01/2025),View,RAJ_P_2025_3457 (02_01_2025)
Sikar,Hanuman Nagar,PLOTTED,Bajrang Lal Saini,RAJ-RERA-APP-P-2024-10143,RAJ/P/2024/3416 (04/12/2024),View,RAJ_P_2024_3416 (04_12_2024)
Jaipur,PINK OAKS,GROUP HOUSING,SIDDHARTH ASSOCIATES,RAJ-RERA-APP-P-2024-10146,RAJ/P/2025/3489 (23/01/2025),View,RAJ_P_2025_3489 (23_01_2025)
Ajmer,KHASRA NO 1248 MAKADWALI,PLOTTED,Santra Devi,RAJ-RERA-APP-P-2024-10142,RAJ/P/2024/3392 (28/11/2024),View,RAJ_P_2024_3392 (28_11_2024)
Jaipur,Palmera Garden Phase - 1,PLOTTED,JAINA INDIA INFRAEDGE LLP,RAJ-RERA-APP-P-2024-10140,RAJ/P/2024/3427 (10/12/2024),View,RAJ_P_2024_3427 (10_12_2024)
Jaipur,UDITA,GROUP HOUSING,Shree Krishna Construction Company,RAJ-RERA-APP-P-2024-10141,RAJ/P/2025/3480 (15/01/2025),View,RAJ_P_2025_3480 (15_01_2025)
Jaipur,SHRIDHAR CITY PRIME-II,PLOTTED,Mahesh Kumar Jaju,RAJ-RERA-APP-P-2024-10138,RAJ/P/2024/3385 (21/11/2024),View,RAJ_P_2024_3385 (21_11_2024)
Udaipur,AADI-SHIV HEIGHTS,GROUP HOUSING,AADI-SHIV INFRA BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10139,RAJ/P/2024/3421 (07/12/2024),View,RAJ_P_2024_3421 (07_12_2024)
Jaipur,"""GOVERDHAN VATIKA""",PLOTTED,Bordiya Balaji Builders And Developers Private Limited,RAJ-RERA-APP-P-2024-10137,RAJ/P/2024/3384 (21/11/2024),View,RAJ_P_2024_3384 (21_11_2024)
Jaipur,SANJEEVNI GREEN VIHAR PHASE-V,PLOTTED,Sanjeevni Buildhome,RAJ-RERA-APP-P-2024-10135,RAJ/P/2024/3452 (31/12/2024),View,RAJ_P_2024_3452 (31_12_2024)
Jaipur,SHRIDHAR CITY PRIME,PLOTTED,Mahesh Kumar Jaju,RAJ-RERA-APP-P-2024-10134,RAJ/P/2024/3383 (21/11/2024),View,RAJ_P_2024_3383 (21_11_2024)
Jodhpur,SHREE MAHAVEER RESIDENCY,PLOTTED,RATANA RAM,RAJ-RERA-APP-P-EXEM-2024-48,RAJ/RERAExempted Project/2024/040 (31/12/2024),View,RAJ_RERAExempted Project_2024_040 (31_12_2024)
Jaipur,Viaan's Radiant,GROUP HOUSING,Viaan Builders and Developers,RAJ-RERA-APP-P-2024-10136,RAJ/P/2024/3420 (07/12/2024),View,RAJ_P_2024_3420 (07_12_2024)
Bhilwara,Anukampa Skydeck Tower C,GROUP HOUSING,BSR ENTERPRISES,RAJ-RERA-APP-P-2024-10132,RAJ/P/2024/3444 (23/12/2024),View,RAJ_P_2024_3444 (23_12_2024)
Jaipur,BHUMIJA PRIME BLOCK C,PLOTTED,BHUMIJA REALSQUARE LLP,RAJ-RERA-APP-P-2024-10133,RAJ/P/2024/3399 (02/12/2024),View,RAJ_P_2024_3399 (02_12_2024)
Jaipur,MJB ATHULYAM I,GROUP HOUSING,MJB Build Developers,RAJ-RERA-APP-P-2024-10130,RAJ/P/2024/3409 (03/12/2024),View,RAJ_P_2024_3409 (03_12_2024)
Jaipur,SANJEEVNI GREEN VIHAR PHASE-IV,PLOTTED,Sanjeevni Buildhome,RAJ-RERA-APP-P-2024-10129,RAJ/P/2024/3453 (31/12/2024),View,RAJ_P_2024_3453 (31_12_2024)
Jaipur,MSG RESIDENCY,GROUP HOUSING,MSG DEVELOPERS,RAJ-RERA-APP-P-2024-10128,RAJ/P/2024/3414 (04/12/2024),View,RAJ_P_2024_3414 (04_12_2024)
Jaipur,JAGDAMBA NAGAR-II,PLOTTED,DHEERAJ KUMAR MEENA,RAJ-RERA-APP-P-2024-10127,RAJ/P/2024/3377 (18/11/2024),View,RAJ_P_2024_3377 (18_11_2024)
Ajmer,Apeksha City C Block Extension,PLOTTED,APEKSHA HOUSING PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10126,RAJ/P/2025/3484 (21/01/2025),View,RAJ_P_2025_3484 (21_01_2025)
Jaipur,Govind Shreevan,PLOTTED,Govindkripa Infra Ventures,RAJ-RERA-APP-P-2024-10125,RAJ/P/2024/3390 (25/11/2024),View,RAJ_P_2024_3390 (25_11_2024)
Kota,GREEN CITY,PLOTTED,NAGAR PALIKA SULTANPUR,RAJ-RERA-APP-P-2024-10124,RAJ/P/2024/3430 (13/12/2024),View,RAJ_P_2024_3430 (13_12_2024)
Jaipur,''PLATINUM GREENS'',PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10122,RAJ/P/2024/3395 (29/11/2024),View,RAJ_P_2024_3395 (29_11_2024)
Kota,VISION GRANDE,GROUP HOUSING,VISION ENTERPRISES,RAJ-RERA-APP-P-2024-10123,RAJ/P/2024/3415 (04/12/2024),View,RAJ_P_2024_3415 (04_12_2024)
Jaipur,VIKAS HEIGHTS 3RD,GROUP HOUSING,VIKAS HEIGHTS 3RD,RAJ-RERA-APP-P-2024-10121,RAJ/P/2024/3413 (04/12/2024),View,RAJ_P_2024_3413 (04_12_2024)
Jaipur,Ashiana Nitara Phase 2,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2024-10119,RAJ/P/2025/3468 (08/01/2025),View,RAJ_P_2025_3468 (08_01_2025)
Jaipur,HAPPY GREEN'S,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2024-10118,RAJ/P/2024/3380 (19/11/2024),View,RAJ_P_2024_3380 (19_11_2024)
Jaipur,Sunflower,GROUP HOUSING,Satyam Construction,RAJ-RERA-APP-P-2024-10120,RAJ/P/2024/3419 (07/12/2024),View,RAJ_P_2024_3419 (07_12_2024)
Sikar,METRO CITY PHASE-2 RESIDENTIAL SCHEME,PLOTTED,Girdhari Lal,RAJ-RERA-APP-P-2024-10117,RAJ/P/2024/3398 (02/12/2024),View,RAJ_P_2024_3398 (02_12_2024)
Kota,NORTH X Block D,PLOTTED,SHUBHAM INFRA HOUSING,RAJ-RERA-APP-P-2024-10116,RAJ/P/2024/3379 (19/11/2024),View,RAJ_P_2024_3379 (19_11_2024)
Kota,SOUTH X BLOCK B,PLOTTED,CORAL COLONIZERS,RAJ-RERA-APP-P-2024-10114,RAJ/P/2024/3388 (22/11/2024),View,RAJ_P_2024_3388 (22_11_2024)
Jodhpur,AASHIRWAD NAGAR,PLOTTED,AASHIRWAD DEVELOPERS AND PROPERTIES,RAJ-RERA-APP-P-2024-10115,RAJ/P/2024/3443 (23/12/2024),View,RAJ_P_2024_3443 (23_12_2024)
Jaipur,UNNATII ENCLAVE,PLOTTED,SHRI RAMCHANDRA INFRA DEVELOPERS,RAJ-RERA-APP-P-2024-10111,RAJ/P/2024/3369 (12/11/2024),View,RAJ_P_2024_3369 (12_11_2024)
Sikar,Maruti Vihar Aavasiya Yojana Phase-3,PLOTTED,Vishwanath Sharma,RAJ-RERA-APP-P-2024-10113,RAJ/P/2025/3470 (09/01/2025),View,RAJ_P_2025_3470 (09_01_2025)
Jaipur,Ruby Luxor,GROUP HOUSING,Nirmala Realinfrastructure Private Limited,RAJ-RERA-APP-P-2024-10112,RAJ/P/2024/3408 (03/12/2024),View,RAJ_P_2024_3408 (03_12_2024)
Jaipur,LAMBA HEIGHTS II,GROUP HOUSING,LAMBA REAL ESTATES,RAJ-RERA-APP-P-2024-10110,RAJ/P/2024/3431 (13/12/2024),View,RAJ_P_2024_3431 (13_12_2024)
Jaipur,CRYSTAL HEIGHTS,GROUP HOUSING,SIDDHI VINAYAK HOMES,RAJ-RERA-APP-P-2024-10108,RAJ/P/2024/3407 (03/12/2024),View,RAJ_P_2024_3407 (03_12_2024)
